symbol,name,description_original,description_eftcom,description_moringstar,merged_description
PFI,Invesco DWA Financial Momentum ETF,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is composed of at least 30 securities of companies in the financials sector that have powerful relative strength or ""momentum"" characteristics.","PFI tracks an index of U.S. financial firms selected and weighted by price momentum.

PFI changed its tune in February 2014 but continues to provide an alternate take on US financial firms. The old version of the fund used a multi-factor selection method coupled with a tiered equal-weighting scheme that produced a vastly different portfolio than our neutral benchmark. The new incarnation follows a Dorsey-Wright relative strength index that selects and weights stocks by price momentum. Index selection begins by creating a momentum score for each eligible stock in the financial sector. The score is based on both intermediate and long-term price movements compared to other stocks in the space. The top, at least 30 stocks, with the highest momentum scores are selected for index inclusion. Companies in the financial sector include banking, investment services, insurance and real estate finance services. The fund is reconstituted and rebalanced quarterly. Prior to August 28, 2023, the fund traded under the name Invesco DWA Financial Momentum ETF.","The investment seeks to track the investment results (before fees and expenses) of the Dorsey Wright Financials Technical LeadersTMIndex (the ""underlying index""). The fund generally will invest at least 90% of its total assets in securities that comprise the underlying index. The underlying index is composed of at least 30 securities of companies in the financials sector that have powerful relative strength or ""momentum"" characteristics.","This fund aims to track an index focused on companies within the U.S. financials sector, encompassing areas such as banking, investment services, insurance, and real estate finance. The core investment strategy is based on selecting and weighting securities exhibiting powerful relative strength or momentum characteristics. The underlying index identifies at least 30 companies by evaluating their intermediate and long-term price movements relative to peers in the sector. The fund typically invests at least 90% of its assets in these index securities, and the index is reconstituted and rebalanced on a quarterly basis."
LVHD,Franklin U.S. Low Volatility High Dividend Index ETF,"The index is composed of stocks of U.S. companies across a wide range of market capitalizations, including the largest 3,000 U.S. stocks as determined by the Solactive US Broad Market Index. The fund will invest at least 80% of its net assets, plus borrowings for investment purposes, if any, in securities that compose the index.","LVHD explicitly aims for what it calls stable yield. Its use of technical inputs as well as fundamental factors in search of dividend sustainability sets it apart from many competing funds which rely solely on the latter. Specifically, LVHD considers the volatility of prices and earnings in addition to yield and positive earnings. The fund culls a relative handful of names (roughly 50 to 100) from its broad parent index using this approach, and weights them in the same fashion, subject to constraints on concentration, turnover and liquidity. For alternatives to LVHD, investors can consider ETFs in the high-dividend segment, from which we exclude LVHD due to its emphasis on low vol. Prior to June 22, 2022 the fund name was Legg Mason Low Volatility High Dividend ETF. The name change was due to acquistion occuring in July of 2020.","The investment seeks to track the investment results of the QS Low Volatility High Dividend Index composed of equity securities of U.S. companies with relatively high yield and low price and earnings volatility. The index is composed of stocks of U.S. companies across a wide range of market capitalizations, including the largest 3,000 U.S. stocks as determined by the Solactive US Broad Market Index. The fund will invest at least 80% of its net assets, plus borrowings for investment purposes, if any, in securities that compose the index.","This ETF seeks to track an index of U.S. equity securities, employing a strategy focused on achieving stable yield. It identifies companies exhibiting relatively high dividend yields *and* low price and earnings volatility. This approach, which considers both technical (price volatility) and fundamental factors (earnings, yield) unlike many standard high-dividend funds, selects a portfolio typically consisting of 50 to 100 stocks from a broad universe of the largest 3,000 U.S. companies. The fund invests at least 80% of its assets in securities composing this index."
AMCA,iShares Russell 1000 Pure U.S. Revenue ETF,"The investment seeks to track the investment results of the Russell 1000Â® Pure Domestic Exposure Index. The fund invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The index composed of U.S. companies exhibiting higher domestic sales as a proportion of the company&#39;s total sales relative to other large- and mid-capitalization U.S. equities.",,,"This investment strategy aims to track an index comprising U.S. large- and mid-capitalization companies. A distinguishing feature of the companies included in this index is their emphasis on domestic sales, exhibiting a higher proportion of sales within the U.S. relative to their total sales compared to other U.S. equities in these size categories. The investment vehicle allocates at least 80% of its assets to the securities that make up this underlying index or to instruments with substantially similar economic characteristics."
RNWZ,TrueShares Eagle Global Renewable Energy Income ETF,"The fund is an actively managed ETF that invests primarily in equity securities of domestic and foreign companies that primarily own or operate assets used in the development, generation, production, transmission, storage and sale of alternative and renewable energy such as solar power, wind power, biofuels, hydropower, nuclear or geothermal power. The fund also may invest in American Depository Receipts (""ADRs"") and Global Depository Receipts (""GDRs"") of Renewable Energy Infrastructure Companies. It is non-diversified.","RNWZ provides exposure to the global transition to clean energy. The fund aims to invest in US and non-US companies that primarily own or operate alternative or renewable energy facilities, such as those used in the development, generation, production, transmission, storage, and sale of biofuels, solar, wind, hydro, nuclear, or geothermal power. These assets typically generate stable cash flow streams from long-term contracts with governments, utilities, and corporations. The fund may hold small-, mid-, and large-cap equities, including depositary receipts. The fund adviser uses a fundamentally driven approach for selection, which includes analyzing global macroeconomic and geo-political factors, internal valuation methods, and projected rate of return. The fund adviser has full discretion to buy, hold, or sell portfolio securities at any time.","The investment seeks long-term growth of capital. The fund is an actively managed ETF that invests primarily in equity securities of domestic and foreign companies that primarily own or operate assets used in the development, generation, production, transmission, storage and sale of alternative and renewable energy such as solar power, wind power, biofuels, hydropower, nuclear or geothermal power. The fund also may invest in American Depository Receipts (“ADRs”) and Global Depository Receipts (“GDRs”) of Renewable Energy Infrastructure Companies. It is non-diversified.","This actively managed ETF seeks long-term capital growth by providing exposure to the global transition to clean energy. It primarily invests in equity securities of domestic and foreign companies that own or operate assets involved in the entire lifecycle of alternative and renewable energy, including development, generation, production, transmission, storage, and sale. The focus is on sources such as solar, wind, biofuels, hydropower, nuclear, and geothermal power. The fund may hold equities across small, mid, and large market capitalizations, as well as ADRs and GDRs of relevant companies, whose assets often generate stable cash flow streams via long-term contracts. Using a fundamentally driven approach that considers macroeconomic factors, valuation, and projected returns, the adviser actively manages the portfolio with full discretion. The fund is non-diversified."
JQUA,JPMorgan U.S. Quality Factor ETF,"The fund will invest at least 80% of its assets in securities included in the underlying index. ""Assets"" means net assets, plus the amount of borrowing for investment purposes. The underlying index is comprised of U.S. equity securities selected to represent quality factor characteristics.","JQUA selects and ranks the companies the 1000 largest publicly traded US companies on three quality metrics: profitability, quality of earnings, and solvency. These are combined into a quality factor, which determines which securities will be included in the index and their weights. Companies are market cap-weighted using a proprietary optimization methodology that aims to match the sector weights of the Russell 1000 Index. JQUA does not constrain sector or industry exposure, so investors could experience significant portfolio tilts towards one sector or another depending on the market environment. Holdings include common stock, REITs, and preferreds. The underlying index undergoes quarterly review.","The investment seeks investment results that closely correspond, before fees and expenses, to the performance of the JP Morgan US Quality Factor Index. The fund will invest at least 80% of its assets in securities included in the underlying index. ""Assets"" means net assets, plus the amount of borrowing for investment purposes. The underlying index is comprised of U.S. equity securities selected to represent quality factor characteristics.","This ETF seeks to track a U.S. quality factor index by investing at least 80% of its assets, defined as net assets plus borrowing for investment, in its underlying index securities. The index selects from the 1000 largest U.S. publicly traded companies, evaluating them on profitability, quality of earnings, and solvency. These metrics are combined into a quality factor that determines inclusion and weighting. While employing a proprietary market cap-weighted optimization designed to align with Russell 1000 sector weights, the strategy does not constrain sector or industry exposure, potentially leading to portfolio tilts. Holdings primarily consist of common stock, REITs, and preferreds. The underlying index is reviewed quarterly."
FEIG,FlexShares ESG & Climate Investment Grade Corporate Core Index Fund,"The underlying index seeks to reflect the performance of a selection of U.S.-dollar-denominated corporate bonds issued by companies that exhibit certain ESG characteristics, while also seeking to provide broad-market, core exposure to U.S.-dollar-denominated investment grade corporate bonds of U.S. and non-U.S. issuers. Under normal circumstances, the fund will invest at least 80% of its total assets in the securities of the underlying index. The fund is non-diversified.","FEIG tracks an index of USD-denominated, investment grade corporate bonds that are screened for ESG characteristics and reduced climate-related risk.

FEIG is passively managed to provide broad-market, core exposure to the investment-grade segment of the corporate bond market. The index takes from a selection universe of USD-denominated, investment-grade corporate debt with remaining maturities of at least one year. An optimization process is used to select and weight securities in order to increase aggregate ESG score and reduce aggregate climate-related risk. Companies are ranked based on material ESG metrics and corporate governance characteristics. Each company is then assessed for carbon emissions intensity and carbon risk rating. Violators of international initiatives such as the UN global compact and firms involved in controversial activities are excluded from the portfolio. Weights are also optimized to minimize systematic risk. The index is reconstituted and rebalanced on a monthly basis.","The investment seeks results that correspond generally to the price and yield performance of the Northern Trust ESG & Climate Investment Grade U.S. Corporate Core IndexSM. The underlying index, administered by the index provider, is designed to reflect the performance of a selection of U.S.-dollar-denominated corporate bonds issued by companies that exhibit certain ESG characteristics in the aggregate, while also seeking to provide exposure to U.S. dollar-denominated corporate bonds, i.e., the constituents in the the eligible universe. Under normal circumstances, the fund will invest at least 80% of its total assets in the securities of the underlying index.","This ETF tracks a passively managed index designed to provide broad-market, core exposure to U.S.-dollar-denominated investment grade corporate bonds. A central focus of its strategy is the incorporation of environmental, social, and governance (ESG) characteristics. The underlying index employs a selection and weighting process that aims to increase the aggregate ESG score and reduce aggregate climate-related risk within the portfolio, based on assessments of material ESG metrics, corporate governance, carbon emissions intensity, and carbon risk ratings. Companies involved in controversial activities or violating international initiatives are excluded. The fund typically invests at least 80% of its assets in the securities of its underlying index to reflect the performance of this screened universe."
ESGD,iShares ESG Aware MSCI EAFE ETF,"The fund generally will invest at least 90% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The underlying index is composed of large- and mid-capitalization developed market equities, excluding the U.S. and Canada that have positive environmental, social and governance characteristics as identified by the index provider while exhibiting risk and return characteristics similar to those of the parent index.","ESGD tracks an index of developed market international companies that have been selected and weighted for positive environmental, social, and governance characteristics.

ESGD aims to increase exposure to developed market firms, excluding the US and Canada, displaying strong ESG traits while exhibiting risk and return characteristics similar to its parent index through an optimization process. Companies in the broad MSCI EAFE Index are rated on risk factors related to environmental (e.g. carbon emissions, water use, toxic waste), social (e.g. labor management, health & safety, sourcing), and governance issues (e.g., corruption, fraud, anti-competitive practices). Additionally, the fund completely excludes tobacco companies, producers of certain weapons (e.g. landmines, bioweapons), and companies experiencing severe business controversies. Portfolio optimization software is used to maximize the fund's stake in highly rated companies while staying close to marketlike exposure, performance, and risk. Prior to June 1, 2018, the fund tracked the MSCI EAFE ESG Focus Index.","The investment seeks to track the investment results of the MSCI EAFE Extended ESG Focus Index. The fund generally will invest at least 90% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The underlying index is composed of large- and mid-capitalization developed market equities, excluding the U.S. and Canada that have positive environmental, social and governance characteristics as identified by the index provider while exhibiting risk and return characteristics similar to those of the parent index.","This ETF seeks to track an index composed of large- and mid-capitalization equities from developed markets, excluding the U.S. and Canada. The underlying index focuses on companies exhibiting positive environmental, social, and governance (ESG) characteristics, as identified by the index provider, while aiming for risk and return profiles similar to its parent index. Companies are selected and weighted based on strong ESG traits, utilizing ratings across environmental, social, and governance factors, and through an optimization process designed to maximize exposure to high-rated companies while maintaining market-like characteristics. The methodology also involves excluding certain industries, such as tobacco producers and specific weapon manufacturers, as well as companies involved in severe controversies. The fund generally invests at least 90% of its assets in the securities of this index or investments with substantially similar economic characteristics."
JHMU,John Hancock Multifactor Utilities ETF,The fund normally invests at least 80% of its net assets (plus any borrowings for investment purposes) in securities that compose the fund's index. The index is designed to comprise securities in the utilities sector within the U.S. Universe whose market capitalizations are larger than that of the 1001st largest U.S. company at the time of reconstitution. The fund is non-diversified.,,"The investment seeks a high level of interest income exempt from federal income tax. Under normal market conditions, the fund invests at least 80% of its net assets, plus amounts borrowed for investment purposes, in municipal bonds of any maturity. It primarily invests in bonds that are investment grade when purchased, but the fund may also invest up to 20% of its net assets in non-investment grade bonds rated BB or lower by S&P Global Ratings, Fitch Ratings, or Moody’s Investors Service, Inc., or comparable rating by any NRSRO or unrated equivalents.","This fund seeks a high level of interest income that is exempt from federal income tax. It normally invests at least 80% of its net assets, plus amounts borrowed for investment purposes, in municipal bonds of any maturity. While primarily investing in bonds that are investment grade when purchased, the fund may also invest up to 20% of its net assets in non-investment grade bonds."
IZRL,ARK Israel Innovative Technology ETF,"The fund normally invests at least 80% of its total assets in securities that are included in the fund's benchmark index, depositary receipts representing securities included in the index or underlying stocks in respect of depositary receipts included in the index. The index includes equity securities and depositary receipts of exchange listed companies that are incorporated and/or domiciled in Israel (""Israeli Companies""). The fund is non-diversified.","IZRL tracks an equally weighted index of Israeli companies causing advancements in the areas of genomics, health care, biotechnology, industrials, manufacturing, and IT.

IZRL offers investors focused exposure to the Israeli technology sector. However, the index defines technology companies loosely widening the scope to include Israeli companies whose main business involves disruptive innovation in genomics, health care, biotechnology, industrials, manufacturing, internet, or information technology. Any companies from the following industries that are causing technological disruptive innovation are considered for inclusion: Health Technology, Communications, Technology Services, Electronic Technology, Consumer Services, or Producer Manufacturing. Unlike other funds, which allows globally listed companies with Israeli exposure, IZRL targets only companies that are incorporated or domiciled in Israel. The index is equally weighted, which gives more exposure to smaller companies, and rebalanced quarterly.","The investment seeks to provide investment results that closely correspond, before fees and expenses, to the performance of the ARK Israeli Innovation Index (""index""). The fund normally invests at least 80% of its total assets in securities that are included in the fund's benchmark index, depositary receipts representing securities included in the index or underlying stocks in respect of depositary receipts included in the index. The index includes equity securities and depositary receipts of exchange listed companies that are incorporated and/or domiciled in Israel (""Israeli Companies""). The fund is non-diversified.","This fund seeks to track an equally weighted index focused on Israeli companies driving disruptive innovation. It normally invests at least 80% of its total assets in securities included in this index, including depositary receipts, targeting exchange-listed companies solely incorporated or domiciled in Israel. The index broadly defines innovation to encompass advancements in sectors such as technology, genomics, healthcare, biotechnology, industrials, manufacturing, internet, and communications. The index, which provides greater exposure to smaller companies due to its equal weighting structure, is rebalanced quarterly. The fund is non-diversified."
AVSD,Avantis Responsible International Equity ETF,"The fund invests primarily in a diverse group of non-U.S. companies across countries, market sectors and industry groups. It may invest in companies of all market capitalizations. Under normal market conditions, the fund will invest at least 80% of its assets in equity securities. The fund may invest in securities that are denominated in foreign currencies and may also invest in foreign securities that are represented in the U.S. and other securities markets by American Depositary Receipts (ADRs), Global Depositary Receipts (GDRs), and other similar depositary arrangements.","AVSD limits its investable universe of stocks in developed markets ex-US by first screening out those that do not meet multiple ESG metrics. Portfolio managers utilize third party ESG data and scoring systems combined with a proprietary screening model to exclude stocks from investment consideration. The companies remaining are evaluated based on fundamental criteria, selecting stocks perceived to have higher profitability or lower valuations. As a result, the portfolio tends to overweight small-cap growth stocks. Holdings may include securities denominated in foreign currencies. Eligibility for inclusion is determined at the time of purchase. Should the ESG assessment of a portfolio holding change, the fund managers are not obligated to sell the security. The fund performance relies on efficient portfolio management and trading process to reduce unnecessary risks and transaction costs. The fund is able to engage in securities lending.","The investment seeks long-term capital appreciation. The fund invests primarily in a diverse group of non-U.S. companies across countries, market sectors and industry groups. It may invest in companies of all market capitalizations. Under normal market conditions, the fund will invest at least 80% of its assets in equity securities. The fund may invest in securities that are denominated in foreign currencies and may also invest in foreign securities that are represented in the U.S. and other securities markets by American Depositary Receipts (ADRs), Global Depositary Receipts (GDRs), and other similar depositary arrangements.","Seeking long-term capital appreciation, this ETF primarily invests in a diverse group of companies located in developed markets outside the United States. Its investment process begins with screening companies based on multiple environmental, social, and governance (ESG) metrics, utilizing both third-party data and a proprietary model. Stocks that meet the ESG criteria are then evaluated based on fundamental factors like profitability and valuation, aiming to select those perceived to be higher quality or lower priced. This selection process tends to result in an overweighting of small-cap growth stocks within the portfolio. The fund invests at least 80% of its assets in equity securities and may include companies of all market capitalizations. Holdings can be denominated in foreign currencies and include structures such as American Depositary Receipts (ADRs) and Global Depositary Receipts (GDRs). While ESG screening is part of the initial selection, the managers are not obligated to sell a security if its ESG assessment changes after purchase. The fund prioritizes efficient management and trading processes and is able to engage in securities lending."
BBP,Virtus LifeSci Biotech Products ETF,"Under normal market conditions, the fund will invest not less than 80% of its assets in component securities of the index. The index seeks to track the performance of the common stock of U.S. exchange-listed biotechnology companies with at least one drug therapy approved by the U.S. Food and Drug Administration (""FDA"") for marketing.","BBP tracks an index of US-listed biotechnology companies considered to be in the product stage by the index provider.

BBP offers a different approach to biotech investing by handpicking firms whose lead drugs are on its product stage or those firms that have attained FDA approval for their leading drug. Stocks must earn a majority of their revenue from the research and development and/or marketing and sale of novel drugs or other therapeutics used in the treatment of human diseases. The fund is offered by BioShares alongside launched a sister fund, BBC, which targets biotech firms in the clinical trial stage. The index is reconstituted on a semi-annual basis.","The investment seeks investment results that correspond, before fees and expenses, to the price and yield performance of the LifeSci Biotechnology Products Index. Under normal market conditions, the fund will invest not less than 80% of its assets in component securities of the index. The index seeks to track the performance of the common stock of U.S. exchange-listed biotechnology companies with at least one drug therapy approved by the U.S. Food and Drug Administration (""FDA"") for marketing.","This ETF provides exposure to US-listed biotechnology companies specifically focused on those considered to be in the product stage. This includes firms with at least one drug therapy approved by the U.S. Food and Drug Administration (FDA) for marketing, which typically earn a majority of their revenue from the research, development, marketing, or sale of novel human therapeutics. Designed to track the performance of an index composed of such companies, the fund normally invests at least 80% of its assets in the index's component securities. Its distinct concept targets companies with approved products, differentiating it from strategies focused on earlier-stage clinical trial companies."
TMAT,Main Thematic Innovation ETF,"The adviser seeks to achieve its objective through dynamic thematic rotation. The Adviser focuses its research primarily on identifying emerging, disruptive, and innovative themes that have a large market demand or ""addressable market"". The Adviser rotates among themes with large addressable markets which may range from nascent technologies to those on the cusp of widespread adoption and buys securities of ETFs investing in those themes.","TMAT is actively managed to diversify equity exposure across global market themes. The portfolio selection process combines both quantitative and qualitative criteria, aiming to surface companies offering disruptive technologies, with perceived significant market opportunity, and catalysts for long-term adoption. Allocations target economic growth forecasts and other macro-economic factors, identifying 50-100 equity positions that fit the selected themes. Holdings may include individual stocks or theme-based ETFs, which may include non-traditional asset classes. Theme and sector exposures are optimized, setting and revisiting price targets and growth forecasts. However, the fund may invest heavily in certain sectors and allows up to 15 percent of the assets to be invested in bitcoin ETFs. The strategy may also involve option buying or selling to generate income or hedge downside risk.","The investment seeks to outperform the MSCI ACWI Index® in rising markets while limiting losses during periods of decline. The adviser seeks to achieve the fund's objective through dynamic thematic rotation. The Adviser focuses its research primarily on identifying emerging, disruptive, and innovative themes that have an “addressable market”, i.e., a large market demand These themes may include genomics, fintech, e-commerce, robotics, artificial intelligence, cyber security, clean energy, cloud computing, autonomous tech, gaming & e-sports, and pet care.","This actively managed strategy invests across global markets by dynamically rotating among emerging, disruptive, and innovative themes that possess significant market opportunity. Utilizing quantitative and qualitative analysis, the portfolio targets companies and themes expected to benefit from disruptive technologies and long-term adoption trends. The diversified holdings, typically numbering 50-100 positions, may consist of individual stocks or theme-focused ETFs and have the flexibility to include up to 15% exposure to bitcoin ETFs. Allocation decisions are guided by economic growth forecasts and macro factors, and the strategy may employ options for potential income or risk management. The overall aim is to capture growth in rising markets while seeking to limit downside during declines."
DTRE,First Trust Alerian Disruptive Technology Real Estate UCITS ETF,"The fund will normally invest at least 90% of its net assets (plus any borrowings for investment purposes) in the common stocks, real estate investment trusts (""REITs"") and depository receipts that comprise the index. The index seeks to provide exposure to companies that own, operate and/or lease real estate that supports advanced wired and wireless communication, data storage and processing infrastructure, e-commerce warehouses and fulfillment centers.","DTRE tracks an index of real estate stocks that support wired and wireless communication, data infrastructure, warehouses, and fulfillment centers. Selection and weighting of securities are based on three-month average trading values.

DTRE is a passively managed fund that provides exposure to real estate stocks perceived to support disruptive technology. It includes advanced wired and wireless communication, data storage and processing infrastructure, e-commerce warehouses, and fulfillment centers. The portfolio holds operating companies and REITs that derive at least 50% of revenues from owning, operating and/or leasing real estate that support rapid data transfer, distributed data handling, and e-commerce warehousing. Stocks must be listed on major globally recognized exchanges that meet sector, market-cap, and liquidity requirements. Holdings are weighted by their three-month average daily trading values, with a 10% single security cap. The index is reconstituted and rebalanced quarterly. Prior to Oct. 3, 2022, the fund was called First Trust FTSE EPRA/NAREIT Developed Markets Real Estate Index Fund, the first ETF to offer real estate exposure focused on developed markets worldwide, trading under the ticker FFR.","The investment seeks investment results that correspond generally to the price and yield (before the fund’s fees and expenses) of an index called the Alerian Disruptive Technology Real Estate Index. The fund will normally invest at least 90% of its net assets (plus any borrowings for investment purposes) in the common stocks, real estate investment trusts (“REITs”) and depository receipts that comprise the index. The index seeks to provide exposure to companies that own, operate and/or lease real estate that supports advanced wired and wireless communication, data storage and processing infrastructure, e-commerce warehouses and fulfillment centers.","This passively managed fund aims to track an index focused on real estate companies supporting disruptive technology. It normally invests at least 90% of its assets in the common stocks, real estate investment trusts (REITs), and depository receipts that comprise the index. The index seeks exposure to companies that own, operate, or lease real estate critical for advanced wired and wireless communication, data storage and processing infrastructure, and e-commerce warehouses and fulfillment centers. The portfolio includes operating companies and REITs meeting revenue derivation criteria from these specific real estate activities. Securities are selected based on exchange, sector, market-cap, and liquidity requirements, and weighted according to their three-month average daily trading values, subject to a per-security cap. The index undergoes quarterly reconstitution and rebalancing."
JSI,Janus Detroit Street Trust - Henderson Securitized Income ETF,"The fund advisor pursues its investment objective by investing, under normal circumstances, at least 80% of its net assets (plus borrowings for investment purposes) in securitized securities. Securitized securities are debt securities that entitle their holders to payments that depend primarily on the assets underlying the securities, and include, but are not limited to, asset-backed securities (“ABS”), collateralized loan obligations (“CLOs”), agency and non-agency mortgage-backed securities (“MBS”), and collateralized mortgage obligations (“CMOs”). The fund is non-diversified.","JSI is an actively managed fund that provides broad exposure to the US securitized market. The fund invests predominantly in investment grade securities.

JSI seeks current income and capital preservation by holding a diversified portfolio of securitized fixed income securities, including asset-backed securities (ABS), collateralized loan obligations (CLOs), agency and non-agency mortgage-backed securities (MBS), and collateralized mortgage obligations (CMOs). The fund only invests in USD-denominated securities, which may be of any maturity or duration. A substantial portion of the fund's assets is targeted at investment grade securities, with the fund capping investments in below investment grade securities at 40%. The fund typically enters to be announced commitments when purchasing MBS, which may have a leveraging effect. The fund may also utilize derivatives to hedge portfolio risk. As an actively managed fund, the adviser has full discretion to buy, hold, or sell portfolio securities at any given time.","The investment seeks current income with a focus on preservation of capital. The fund advisor pursues its investment objective by investing, under normal circumstances, at least 80% of its net assets (plus borrowings for investment purposes) in securitized securities. Securitized securities are debt securities that entitle their holders to payments that depend primarily on the assets underlying the securities, and include, but are not limited to, asset-backed securities (“ABS”), collateralized loan obligations (“CLOs”), agency and non‑agency mortgage-backed securities (“MBS”), and collateralized mortgage obligations (“CMOs”). The fund is non-diversified.","This actively managed fund seeks current income and capital preservation by investing primarily (at least 80% of net assets) in a broad range of US dollar-denominated securitized debt securities, including asset-backed securities (ABS), collateralized loan obligations (CLOs), and mortgage-backed securities (MBS), such as agency, non-agency, and collateralized mortgage obligations (CMOs). While predominantly targeting investment-grade issues, the fund may allocate up to 40% of its assets to below investment-grade securities. Classified as non-diversified, it may utilize borrowings for investment purposes, including practices like To Be Announced (TBA) commitments for MBS, which can introduce leverage, and may employ derivatives to hedge portfolio risk."
LOUP,Innovator Loup Frontier Tech ETF,"The fund will normally invest at least 80% of its net assets (including investment borrowings) in the securities that comprise the index. The Loup Frontier Tech Index is a rules-based stock index owned, developed and maintained by Loup Ventures Management, LLC that seeks to identify and track those companies identified as being on the frontier of the development of new technologies that have the potential to have an outsized influence on the future.","LOUP tracks an index of developed- and emerging-market stocks that are identified as being on the frontier of the development of technology. Holdings are selected and weighted based on fundamental criteria. The weighting then tilts towards those with a higher investment conviction.

LOUP provides exposure to a narrow basket of stocks shaping the emergence of AI, robotics, autonomous vehicles, computer perception, and virtual/mixed/augmented reality. To be included, companies must generate half of their revenues from one of these areas or exhibit significant revenue or expenditure growth in one of the areas. The fund excludes companies over $500 billion in market cap, avoiding the mega-cap tech giants that might otherwise dominate the portfolio. Eligible stocks are scored on revenue growth and revenue growth acceleration ranking. LOUP selects the 30 highest-scoring companies. Holdings are equally weighted within two tiers, the top five components are weighted at 5% each, reflecting the higher conviction in these firms. The technological sub-themes may change over time but will stay relevant to the funds frontier technology theme. The index is rebalanced and reconstituted monthly. Prior to April 03, 2023, the fund was named Innovator Loup Frontier Tech ETF.","The investment seeks to track, before fees and expenses, the performance of the Deepwater Frontier Tech Index. The fund will normally invest at least 80% of its net assets (including investment borrowings) in the securities that comprise the index. The Deepwater Frontier Tech Index is a rules-based stock index owned, developed and maintained by Deepwater Asset Management, LLC that seeks to identify and track those companies identified as being on the frontier of the development of new technologies that have the potential to have an outsized influence on the future.","This ETF normally invests at least 80% of its net assets in securities comprising a rules-based index that identifies companies on the frontier of developing new technologies with the potential for significant future impact. It tracks a narrow basket of developed and emerging market stocks specifically focused on key areas like artificial intelligence, robotics, autonomous vehicles, computer perception, and virtual, mixed, or augmented reality. To be included, companies must derive substantial revenue from these areas or demonstrate significant growth or expenditure in them, while excluding mega-cap firms exceeding $500 billion in market capitalization. The index selects the 30 highest-scoring eligible companies based on revenue growth and acceleration, weighting them in tiers with the top holdings receiving higher allocations reflecting conviction, before monthly rebalancing."
MEDX,Horizon Kinetics Medical ETF,"The fund is an actively-managed exchange-traded fund (“ETF”) that pursues its investment objective by investing, under normal circumstances, at least 80% of its net assets plus any borrowings for investment purposes in common stocks, convertible securities, warrants and other equity securities having the characteristics of common stocks of U.S. and foreign companies engaged in medical research, pharmaceutical and medical technology industries and related technology industries. The fund is non-diversified.","MEDX aims for long-term capital growth through investments in global companies engaged in the broad healthcare sector. The portfolio may include companies of any market capitalization. Eligible securities must have at least 50% of their company revenue in medical research, pharmaceuticals, and medical technology. Such companies may include surgical & medical instrument manufacturers and biotech names. The portfolio emphasizes companies whose activities specifically involve cancer research, treatment, and pharmaceutical development. Selection and weighting are based on the advisers evaluation of a companys fundamentals, industrial position, and capital investments. During temporary periods, the fund may invest up to 100% of its assets in US short-term debt securities and money market instruments. The fund may invest up to 20% in convertibles and non-convertible high-yield bonds. The fund is actively managed and the adviser has full discretion in adjusting the portfolio.","The investment seeks to provide long-term growth of capital. The fund is an actively-managed exchange-traded fund (“ETF”) that pursues its investment objective by investing, under normal circumstances, at least 80% of its net assets plus any borrowings for investment purposes in common stocks, convertible securities, warrants and other equity securities having the characteristics of common stocks of U.S. and foreign companies engaged in medical research, pharmaceutical and medical technology industries and related technology industries. The fund is non-diversified.","This actively managed ETF seeks long-term capital growth primarily by investing at least 80% of its net assets in equity securities of global companies engaged in medical research, pharmaceuticals, and medical technology. Eligible companies typically derive at least 50% of their revenue from these activities, encompassing areas like biotech and surgical/medical instruments. The investment strategy emphasizes companies involved in cancer research, treatment, and pharmaceutical development, with portfolio selection and weighting based on fundamental analysis, industry position, and capital investments. The portfolio can hold companies of any market capitalization and has flexibility to invest up to 20% in convertibles and high-yield bonds, as well as temporary positions in short-term debt instruments. The fund is structured as non-diversified."
