symbol,name,description,description_yahoo,description_etfcom,description_morningstar
HTEC,Robo Global Healthcare Technology and Innovation ETF,"The fund will normally invest at least 80% of its total assets in securities of the index or in depositary receipts representing securities of the index. The index is designed to measure the performance of companies that have a portion of their business and revenue derived from the field of healthcare technology, and the potential to grow within this space through innovation and market adoption of such companies’ products and services. It is non-diversified.","The fund will normally invest at least 80% of its total assets in securities of the index or in depositary receipts representing securities of the index. The index is designed to measure the performance of companies that have a portion of their business and revenue derived from the field of healthcare technology, and the potential to grow within this space through innovation and market adoption of such companies’ products and services. It is non-diversified.","HTEC tracks a proprietary index of global health care technology companies.

HTEC focuses on global health care technology companies that generate a portion of their revenue from the medical and health care technology industry. The index includes companies Robo Global flags as involved in diagnostics, lab process automation, regenerative medicine, precision medicine, data and analytics, telehealth, robotics, genomics, or medical instruments. Robo Global selects 50 to 100 companies that score high on revenue from those specific business lines, growth potential and market adoption of the companys products and services. Index components are weighted based on their proprietary score and rebalanced quarterly.","The investment seeks to provide investment results that, before fees and expenses, correspond generally to the price and yield performance of the ROBO Global® Healthcare Technology and Innovation Index. The fund will normally invest at least 80% of its total assets in securities of the index or in depositary receipts representing securities of the index. The index is designed to measure the performance of companies that have a portion of their business and revenue derived from the field of healthcare technology, and the potential to grow within this space through innovation and market adoption of such companies’ products and services. It is non-diversified."
JPMB,JPMorgan USD Emerging Markets Sovereign Bond ETF,"The fund will invest at least 80% of its assets in securities included in the underlying index. The underlying index is comprised of liquid, U.S. dollar-denominated sovereign and quasi-sovereign fixed and floating rate debt securities from emerging markets selected using a rules-based methodology that was developed and is owned by the adviser. The fund is non-diversified.","The fund will invest at least 80% of its assets in securities included in the underlying index. The underlying index is comprised of liquid, U.S. dollar-denominated sovereign and quasi-sovereign fixed and floating rate debt securities from emerging markets selected using a rules-based methodology that was developed and is owned by the adviser. The fund is non-diversified.","JPMB tracks an index of USD-denominated sovereign and quasi-sovereign debt securities from emerging markets. Securities are selected and weighted based on fundamental criteria.

JPMB tracks a proprietary index comprised of US dollar-denominated sovereign and quasi-sovereign emerging-market debt securities. Issuing debt in USD removes the direct risk of local currency fluctuations but raises credit risk, as a stronger dollar could hinder repayment. Index construction begins by filtering the eligible universe for liquidity and country risk, and then allocating risk based on credit rating. JPMB is not subject to duration or maturity limits, and may hold junk bonds in any amount. The fund goes head-to-head with iShares EMBone of the first ETFs for this space, and among the most popular.","The investment seeks investment results that closely correspond, before fees and expenses, to the performance of the JPMorgan Emerging Markets Risk-Aware Bond Index. The fund will invest at least 80% of its assets in securities included in the underlying index. The underlying index is comprised of liquid, U.S. dollar-denominated sovereign and quasi-sovereign fixed and floating rate debt securities from emerging markets selected using a rules-based methodology that was developed and is owned by the adviser. The fund is non-diversified."
BUYZ,Franklin Disruptive Commerce ETF,"Under normal market conditions, the fund invests at least 80% of its net assets in equity securities of companies that are relevant to its investment theme of disruptive commerce. The fund invests predominantly in common stock. Although it may invest across economic sectors, the fund concentrates its investments in consumer discretionary related industries. It is non-diversified.","Under normal market conditions, the fund invests at least 80% of its net assets in equity securities of companies that are relevant to its investment theme of disruptive commerce. The fund invests predominantly in common stock. Although it may invest across economic sectors, the fund concentrates its investments in consumer discretionary related industries. It is non-diversified.","BUYZ is an actively managed portfolio of global equities expecting to benefit from disruptive commerce for consumers and businesses.

BUYZ invests in global companies that focus on, or benefit from, the advancements in e-commerce, online auctions, the sharing economy, e-payment facilitators, drop shipping, direct marketing or companies that provide a significant decrease in transport and delivery costs. Based on their own fundamental research, the fund advisor selects companies from any economic sector, any market capitalization, and located anywhere in the world, including emerging markets that are positioned to capitalize on the innovation of commerce for consumers or businesses. BUYZ is one of the first three thematic funds to launch from Franklin Templeton.","The investment seeks capital appreciation. Under normal market conditions, the fund invests at least 80% of its net assets in equity securities of companies that are relevant to its investment theme of disruptive commerce. The fund invests predominantly in common stock. Although it may invest across economic sectors, the fund concentrates its investments in consumer discretionary related industries. It is non-diversified."
GREI,Goldman Sachs Future Real Estate and Infrastructure Equity ETF,"The fund invests, under normal circumstances, at least 80% of its net assets plus any borrowings for investment purposes (measured at the time of purchase) in equity investments in U.S. and non-U.S. real estate and infrastructure companies. The adviser generally intends to invest in real estate and infrastructure companies that the adviser believes are aligned with key themes associated with secular growth drivers for real estate and infrastructure assets, which include innovation, demographic shifts, experiences over things, environmental sustainability, and social sustainability. The fund is non-diversified.","The fund invests, under normal circumstances, at least 80% of its net assets plus any borrowings for investment purposes in equity investments in U.S. and non-U.S. real estate and infrastructure companies. The adviser generally intends to invest in real estate and infrastructure companies that the adviser believes are aligned with key themes associated with secular growth drivers for real estate and infrastructure assets, which include, but are not limited to, tech innovation, environmental sustainability, new age consumer, and future of health care. The fund is non-diversified.","GREI is an actively-managed portfolio that seeks long-term capital growth by investing in global real estate and infrastructure companies.

The fund is being delisted. The last of trading on an exchange is January 10, 2025. GREI actively invests in global companies found in the real estate and infrastructure sectors. In seeking long-term capital growth, the fund targets the broad real estate sector and companies that own or operate infrastructure assets, including but not limited to the utilities industry. It utilizes a fundamental approach allowing ESG integration, and selects firms based primarily on any of the key themes associated with secular growth drivers including, but not limited to, tech innovation, environmental sustainability, new age consumer, and the future of health care. Note, the key themes are not a definite requirement and may change over time at the discretion of the advisor. The fund also does not require the companies to derive any current or future revenue from both sectors, and may hold securities of any market cap. Moreover, it aims for its portfolio to have economic ties to at least three countries, including the US.",
CROP,IQ Global Agribusiness Small Cap ETF,"The investment seeks investment results that correspond generally to the price and yield performance of its underlying index, the IQ Global Agribusiness Small Cap Index. The fund invests at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in the investments included in its underlying index. The underlying index is a rules based, modified capitalization weighted, float adjusted index intended to give investors a means of tracking the overall performance of the global, small capitalization sector of publicly traded companies that are engaged primarily in the agribusiness sector. The fund is non-diversified.","The investment seeks investment results that correspond generally to the price and yield performance of its underlying index, the IQ Global Agribusiness Small Cap Index.
 The fund invests at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in the investments included in its underlying index. The underlying index is a rules based, modified capitalization weighted, float adjusted index intended to give investors a means of tracking the overall performance of the global, small capitalization sector of publicly traded companies that are engaged primarily in the agribusiness sector. The fund is non-diversified.",,
ERET,Ishares Environmentally Aware Real Estate ETF,"It invests at least 90% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 10% of its assets in certain futures, options and swap contracts, cash and cash equivalents, as well as in securities not included in the index. It is non-diversified.","It invests at least 90% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 10% of its assets in certain futures, options and swap contracts, cash and cash equivalents, as well as in securities not included in the index. It is non-diversified.","ERET utilizes an ESG approach to real estate investing. The selection process starts with its parent index, the FTSE EPRA Nareit Developed Index, a broad universe of REITs and real estate companies from developed markets. The fund excludes firms engaged in tobacco, controversial weapons, producers and retailers of civilian firearms, and thermal coal, as well as those involved in controversies related to the ten UN Global Compact principles. Remaining companies are then weighted to target, in aggregate: a) a minimum of 10% green certification, b) a 30% increase in green certification, c) a 10% reduction in energy usage both relative to the parent index, and d) a level of carbon emission intensity that is better than that of the initial universe. Sector and country exposures must be within 2% of the parent index weight. At each annual review and reconstitution, these constraints, as well as the green certification and energy usage targets, may be relaxed if infeasible.","The investment seeks to track the FTSE EPRA Nareit Developed Green Target Index composed of developed market real estate equities while targeting increased exposure to green certification and energy efficiency relative to the parent index. It invests at least 90% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 10% of its assets in certain futures, options and swap contracts, cash and cash equivalents, as well as in securities not included in the index. It is non-diversified."
DFAR,Dimensional - US Real Estate ETF,"The portfolio, using a market capitalization weighted approach, will concentrate investments in readily marketable equity securities of companies whose principal activities include ownership, management, development, construction, or sale of residential, commercial or industrial real estate. The Portfolio will principally invest in equity securities of companies in certain REITs and companies engaged in residential construction and firms, except partnerships, whose principal business is to develop commercial property.","The portfolio, using a market capitalization weighted approach, will concentrate investments in readily marketable equity securities of companies whose principal activities include ownership, management, development, construction, or sale of residential, commercial or industrial real estate. The Portfolio will principally invest in equity securities of companies in certain REITs and companies engaged in residential construction and firms, except partnerships, whose principal business is to develop commercial property.","DFAR is actively managed to invest in US companies whose principal activities are engaged in the broad real estate sector, including REITs. Portfolio holdings are weighted by market capitalization.

DFAR provides active management to investing in broad US real estate companies. Portfolio managers evaluate companies involved in the ownership, management, development, construction, or sale of residential, commercial, or industrial real estate. A company must generate at least 50% of their revenue or have 50% of the value of their assets, invested in one of these areas. The portfolio will also hold real estate investment trusts (REITs) or like entities. Partnerships involved in commercial property development are excluded. Securities selected are evaluated based on several factors, such as free float, stock momentum, liquidity, size, relative price, profitability, and costs. Once selected for the portfolio, holdings are market-cap weighted. Due to the active management, the fund may have a higher portfolio turnover than index funds for this space. Derivatives may be used to leverage exposure or manage cash. Lending of portfolio securities is permitted to generate additional income.","The investment seeks to achieve long-term capital appreciation. The portfolio, using a market capitalization weighted approach, will concentrate investments in readily marketable equity securities of companies whose principal activities include ownership, management, development, construction, or sale of residential, commercial or industrial real estate. The Portfolio will principally invest in equity securities of companies in certain REITs and companies engaged in residential construction and firms, except partnerships, whose principal business is to develop commercial property."
GSFP,Goldman Sachs Future Planet Equity ETF,"The fund invests, under normal circumstances, at least 80% of its net assets plus any borrowings for investment purposes in equity investments in U.S. and non-U.S. companies that Goldman Sachs Asset Management, L.P. (""GSAM"" or the ""Investment Adviser"") believes are associated, at the time the investment is first added to the fund's portfolio, with seeking to address environmental problems. It may have significant exposure to specific sectors including, but not limited to, the industrials, materials and technology sectors. The fund is non-diversified.","The fund invests, under normal circumstances, at least 80% of its net assets plus any borrowings for investment purposes in equity investments in U.S. and non-U.S. companies that Goldman Sachs Asset Management, L.P. (""GSAM"" or the ""Investment Adviser"") believes are associated, at the time the investment is first added to the fund's portfolio, with seeking to address environmental problems. It may have significant exposure to specific sectors including, but not limited to, the industrials, materials and technology sectors. The fund is non-diversified.","GSFP is an actively-managed fund of global companies that seek to address environmental problems.

GSFP actively selects global companies focusing on key themes that address environmental concerns. Constituents are selected based on a fundamental approach identified by companies key theme-driven revenue, value and growth, combined with the fund advisers research and forecasts based on company disclosures, third-party research and other subjective criteria. The fund currently includes five key themes: i) Clean Energy (solar and wind energy, bioenergy, energy storage, grid services and carbon sequestration), ii) Resource Efficiency (electric and autonomous vehicles, sustainable manufacturing, logistics and smart cities), iii) Sustainable Consumption (agriculture, food, tourism and fashion), iv) Circular Economy (recycling and reuse, waste management and single-use substitution), and v) Water Sustainability (water treatment, distribution and desalination). However, due to its active approach, key themes selection and allocation may significantly change over time.","The investment seeks long-term capital appreciation. The fund invests, under normal circumstances, at least 80% of its net assets plus any borrowings for investment purposes in equity investments in U.S. and non-U.S. companies that Goldman Sachs Asset Management, L.P. (""GSAM"" or the ""Investment Adviser"") believes are associated, at the time the investment is first added to the fund's portfolio, with seeking to address environmental problems. It may have significant exposure to specific sectors including, but not limited to, the industrials, materials and technology sectors. The fund is non-diversified."
IYM,iShares U.S. Basic Materials ETF,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index measures the performance of the basic materials sector of the U.S. equity market. The fund is non-diversified.,The fund generally will invest at least 80% of its assets in the component securities of its underlying index. The underlying index measures the performance of the basic materials sector of the U.S. equity market. The fund is non-diversified.,"IYM is a straightforward large-cap sector fund that tracks a vanilla, market-cap-weighted index that provides exposure to the basic material industry of the US market, as classified by the ICB sector framework. Regulatory capping targets are applied at each quarterly rebalance such that single issuer weights are capped at 22.5% and the aggregate weight of all companies exceeding 4.5% weight is capped at 45%. Instead of replicating the index, the fund uses representative sampling to track the index and may also hold cash and cash equivalents, money market funds, and derivatives including futures, options and swap contracts up to 20% of the portfolio to maximize investment results. Prior to September 20, 2021, the fund tracked the Dow Jones U.S. Basic Materials Index.",The investment seeks to track the investment results of the Russell 1000 Basic Materials RIC 22.5/45 Capped Index composed of U.S. equities in the basic materials sector. The fund generally will invest at least 80% of its assets in the component securities of its underlying index. The underlying index measures the performance of the basic materials sector of the U.S. equity market. The fund is non-diversified.
KSET,KraneShares Global Carbon Offset Strategy ETF,"In seeking to achieve the fund's investment objective, the adviser attempts to maintain exposure to futures contracts on carbon offset credits that are substantially the same as those included in the index. The index is designed to measure the performance of a portfolio of liquid carbon offset credit futures. The fund will generally seek to obtain exposure to the same carbon offset credit futures that are in the index. It is non-diversified.","In seeking to achieve the fund's investment objective, the adviser attempts to maintain exposure to futures contracts on carbon offset credits that are substantially the same as those included in the index. The index is designed to measure the performance of a portfolio of liquid carbon offset credit futures. The fund will generally seek to obtain exposure to the same carbon offset credit futures that are in the index. It is non-diversified.","The security was delisted. The last day of trading on an exchange is March 14, 2024. KSET is the first US-listed global carbon offset ETF. It provides broad exposure to the voluntary carbon market by investing in carbon offset futures that mature in the next two years and meet certain trading and price criteria. A carbon offset credit represents the reduction of a specific amount of carbon dioxide from the atmosphere. The fund consists of CME-traded Global Emissions Offsets (GEOs) and Nature-Based Global Emission Offsets (N-GEOs). These are designed to allow businesses to manage their GHG-reduction goals by purchasing today carbon offset credits for delivery in the future. The index weights eligible carbon offset credit futures based on liquidity. The fund may have some exposure to other types of carbon offset credit futures, including those issued under cap-and-trade regulatory regimes. KSET utilizes a Cayman Island subsidiary and may hold ultra-short term, investment grade debt as necessary collateral. Prior to August 1, 2022, the fund was actively managed.",
