symbol,name,description_yahoo,description_etfcom,description_morningstar,merged_description,description_original
ARVR,First Trust Indxx Metaverse ETF,"Under normal market conditions, the fund will invest at least 80% of its net assets (plus any borrowings for investment purposes) in the securities that comprise the index. The index is comprised of companies that provide services and products that support the infrastructure and applications of the Metaverse. The fund is non-diversified.","ARVR targets companies that are associated with the Metaverse, which is predicted to be important to business economic viability in the future. The fund selects common stocks or depositary receipts involved in developing the virtual-reality space, such as AI and 3D technologies, where users can interconnect with computer-simulated environments. The fund considers companies with at least 50% of revenues engaged in business activities linked to five sub-themes: IP & Contents, Platforms, Payment, Optics & Display, and Semiconductor, Hardware & 5G. The final 50 companies are selected by market-cap. The portfolio is weighted using three revenue thresholds, tilting toward those with higher revenue tied to the theme. Companies with a market-cap less than $10 billion have their weightings cut in half. Securities at each level are weighted equally and capped at 2%. The index committee has full discretion to edit the portfolio. The index is rebalanced quarterly and reconstituted semi-annually.","The investment seeks results that correspond generally to the price and yield, before fees and expenses, of an equity index called the Indxx Metaverse Index (the “Index”). Under normal market conditions, the fund will invest at least 80% of its net assets (plus any borrowings for investment purposes) in the securities that comprise the index. The index is comprised of companies that provide services and products that support the infrastructure and applications of the Metaverse. The fund is non-diversified.","The First Trust Indxx Metaverse ETF (ARVR) aims to track the Indxx Metaverse Index by investing at least 80% of its assets in index securities. The index is composed of approximately 50 companies providing services and products that support the infrastructure and applications of the Metaverse, including those developing virtual reality, AI, and 3D technologies. Companies are selected based on their association with the Metaverse, often requiring at least 50% of revenues from related sub-themes like IP & Contents, Platforms, Payment, Optics & Display, and Semiconductor, Hardware & 5G. The portfolio is weighted using revenue thresholds that tilt towards higher thematic revenue exposure, with securities individually capped, and the fund operates as non-diversified.","Under normal market conditions, the fund will invest at least 80% of its net assets (plus any borrowings for investment purposes) in the common stocks and depositary receipts that comprise the index. The index is comprised of companies that provide services and products that support the infrastructure and applications of the Metaverse. The fund is non-diversified."
DMXF,iShares ESG Advanced MSCI EAFE Index ETF,"The underlying index is a free float-adjusted market capitalization-weighted index that is designed to reflect the equity performance of large- and mid-capitalization developed market companies, excluding the U.S. and Canada. The fund generally will invest at least 90% of its assets in the component securities of the underlying index.","DMXF tracks a market cap-weighted, ESG-screened index of large- and mid-cap stocks from the developed markets outside North America.

DMXF is designed to capture companies with favorable ESG ratings relative to their sector peers while avoiding those that are involved in controversial business activities. In constructing the portfolio, companies in the broad MSCI EAFE Index are rated based on their ESG risk and opportunities management, and controversies scores (0-10, 10 being the most desirable). Securities that have a BBB-rating or above and a score of 3 or above are selected for the portfolio. Companies excluded are those involved in adult entertainment, alcohol, gambling, tobacco, GMO, weapons, nuclear power, firearms, for-profit prisons, and predatory lending, based on revenue thresholds. Companies in the energy sector and industry tied to fossil fuel are also screened out. The index is market-cap weighted with quarterly review for rebalance.","The investment seeks to track the investments results of the MSCI EAFE Choice ESG Screened Index. The underlying index is a free float-adjusted market capitalization-weighted index that is designed to reflect the equity performance of large- and mid-capitalization developed market companies, excluding the U.S. and Canada. The fund generally will invest at least 90% of its assets in the component securities of the underlying index.","The iShares ESG Advanced MSCI EAFE Index ETF (DMXF) seeks to track the investment results of the MSCI EAFE Choice ESG Screened Index. This index is a free float-adjusted market capitalization-weighted measure of large- and mid-capitalization developed market companies, excluding the U.S. and Canada. It incorporates significant ESG screening, designed to select companies with favorable environmental, social, and governance profiles (generally requiring an ESG rating of BBB or higher and a controversies score of 3 or more) while excluding those involved in controversial business activities based on revenue thresholds, such as adult entertainment, alcohol, gambling, tobacco, GMO, various weapons, nuclear power, firearms, for-profit prisons, predatory lending, and companies within the energy sector or tied to fossil fuels. The fund generally invests at least 90% of its assets in the index components, which are reviewed and rebalanced quarterly.","The index is a free float-adjusted market capitalization-weighted index designed to reflect the equity performance of large- and mid-capitalization developed market companies, excluding the U.S. and Canada, with favorable ESG ratings while applying extensive screens, including removing fossil fuel exposure. The fund generally will invest at least 90% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index. It is non-diversified."
SURI,Simplify Propel Opportunities ETF,"The fund is an actively managed exchange-traded fund. The Sub-Adviser concentrates the fund's investments (i.e., invests more than 25% of its net assets) in the securities of issuers in the biotechnology, pharmaceuticals, healthcare technology, and life science tools and services industries. The Sub-Adviser employs an actively managed opportunistic multi-asset strategy that focuses on common stock, preferred stock, convertible bonds, structured notes, corporate notes and bonds, and ETFs that primarily invest in the preceding security types. The fund is non-diversified.","SURI actively manages a multi-asset strategy by investing in equity and fixed income securities of companies in the biotech, pharmaceuticals, healthcare technology, and life science tools and services industries. Investments include common and preferred stocks, convertible bonds, structured notes, corporate notes and bonds, and ETFs. There are no restrictions as to the currency, issuer capitalization, or country for equities, and debt credit quality, maturity, structure, or issuer type for debt securities. The management team identifies attractive investment opportunities by evaluating the scientific proposition of the issuer, the probability that the science will lead to a product or treatment, and projected profits from each successful product or treatment. The fund typically includes small- and mid-caps. SURI may invest up to 20% in derivatives to leverage exposure and partially hedge against market declines. It holds cash and cash-like instruments as collateral.","The investment seeks to provide long-term growth of capital. The fund is an actively managed exchange-traded fund. The Sub-Adviser concentrates the fund's investments (i.e., invests more than 25% of its net assets) in the securities of issuers in the biotechnology, pharmaceuticals, healthcare technology, and life science tools and services industries. The Sub-Adviser employs an actively managed opportunistic multi-asset strategy that focuses on common stock, preferred stock, convertible bonds, structured notes, corporate notes and bonds, and ETFs that primarily invest in the preceding security types. The fund is non-diversified.","The Simplify Propel Opportunities ETF (SURI) is an actively managed, non-diversified fund seeking long-term capital growth. It employs an opportunistic multi-asset strategy that concentrates over 25% of its net assets in companies across the biotechnology, pharmaceuticals, healthcare technology, and life science tools and services industries. The ETF invests in a range of securities including common and preferred stocks, convertible bonds, structured notes, corporate notes and bonds, and related ETFs, potentially including small- and mid-cap companies. The strategy offers flexibility in selecting investments without strict restrictions on equity characteristics like capitalization or country, or debt characteristics like credit quality or maturity. Additionally, the fund may use derivatives up to 20% to potentially leverage exposure or partially hedge against market declines.","The fund is an actively managed exchange-traded fund. The Sub-Adviser concentrates the fund's investments (i.e., invests more than 25% of its net assets) in the securities of issuers in the biotechnology, pharmaceuticals, healthcare technology, and life science tools and services industries. The Sub-Adviser employs an actively managed opportunistic multi-asset strategy that focuses on common stock, preferred stock, convertible bonds, structured notes, corporate notes and bonds, and ETFs that primarily invest in the preceding security types. The fund is non-diversified."
IGBH,iShares Interest Rate Hedged Long-Term Corporate Bond ETF,"The fund seeks to achieve its investment objective by investing, under normal circumstances, at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in component securities and instruments in the fund’s underlying index and/or bonds included in the underlying index of the underlying fund.","IGBH tracks an index that holds the iShares 10+ Year Investment Grade Corporate Bond ETF (IGLB) and uses derivatives to hedge out interest rate risk.

IGBH provides exposure to long-term US investment grade corporate bonds by investing in an index that holds the iShares 10+ Year Investment Grade Corporate Bond ETF (IGLB), while simultaneously attempting to hedge exposure to its interest rate risk through a series of up to 10 interest rate swap contracts with different maturities. The index includes a 5% cash position as collateral for the swap contracts. IGBH targets to maintain a weighted average maturity that is greater than ten years. The fund aims to track the interest rate hedging component of the index through short positions in US Treasury futures contracts and interest rate swaps. Prior to Dec. 1, 2021, the fund is actively-managed holding the ETF IGLB and using the same strategy of hedging interest rate risk.","The investment seeks to track the investment results of the BlackRock Interest Rate Hedged Long-Term Corporate Bond Index designed to minimize the interest rate exposure of a portfolio composed of U.S. dollar-denominated, investment-grade corporate bonds with remaining maturities greater than ten years. The fund seeks to achieve its investment objective by investing, under normal circumstances, at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in component securities and instruments in the fund’s underlying index and/or bonds included in the underlying index of the underlying fund.","The iShares Interest Rate Hedged Long-Term Corporate Bond ETF (IGBH) seeks to track the BlackRock Interest Rate Hedged Long-Term Corporate Bond Index, which provides exposure to U.S. dollar-denominated, investment-grade corporate bonds with remaining maturities greater than ten years while minimizing interest rate exposure. The fund achieves this by investing in an underlying ETF, the iShares 10+ Year Investment Grade Corporate Bond ETF (IGLB), and simultaneously hedging the interest rate risk primarily through interest rate swap contracts and short positions in US Treasury futures. It targets maintaining a weighted average maturity exceeding ten years.","The fund seeks to achieve its investment objective by investing, under normal circumstances, at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in component securities and instruments in the fund’s underlying index and/or bonds included in the underlying index of the underlying fund."
ECLN,First Trust EIP Carbon Impact ETF,"Under normal market conditions, the fund will invest at least 80% of its net assets (including investment borrowings) in the equity securities of companies identified by the fund's investment sub-advisor as having or seeking to have a positive carbon impact. Its investments will be concentrated in the industries constituting the energy infrastructure sector. The fund is non-diversified.","ECLN is an actively-managed fund comprised of developed-economy equities of companies committed to a reduction of carbon emissions.

ECLN focuses on companies that have a publicly available plan to reduce, or enable the reduction of carbon and other greenhouse gas (GHG) emissions, and overall having a positive carbon impact. The fund selects from companies operating in the following industries, including but not limited to: utilities, natural gas pipelines, manufacturers, contracted developers and/or owners of renewable energy. ECLN will invest in all market cap sizes.","The investment seeks to achieve a competitive risk-adjusted total return balanced between dividends and capital appreciation. Under normal market conditions, the fund will invest at least 80% of its net assets (including investment borrowings) in the equity securities of companies identified by the fund's investment sub-advisor as having or seeking to have a positive carbon impact. Its investments will be concentrated in the industries constituting the energy infrastructure sector. The fund is non-diversified.","The actively managed First Trust EIP Carbon Impact ETF (ECLN) seeks a competitive risk-adjusted total return primarily through developed-economy equities of companies identified as having or seeking a positive carbon impact, often with a publicly available plan to reduce greenhouse gas emissions. Under normal conditions, the fund invests at least 80% of its net assets in such securities. It is concentrated in the energy infrastructure sector, including industries like utilities, natural gas pipelines, manufacturers, and renewable energy developers/owners, investing across all market capitalization sizes. ECLN is classified as non-diversified and aims to balance returns between dividends and capital appreciation.","Under normal market conditions, the fund will invest at least 80% of its net assets (including investment borrowings) in the equity securities of companies identified by the fund's investment sub-advisor as having or seeking to have a positive carbon impact. Its investments will be concentrated in the industries constituting the energy infrastructure sector. The fund is non-diversified."
HAPY,Harbor Corporate Culture Leaders ETF,The fund employs an indexing investment approach designed to track the performance of the index. The fund invests at least 80% of its total assets in securities that are included in the index. The index is designed to deliver exposure to equity securities of U.S. companies identified by Irrational Capital LLC (“Irrational Capital” or the “index provider”) as those it believes to possess strong corporate culture based on its proprietary scoring methodology.,"HAPY tracks an equal-weighted index of US-listed large-cap companies scoring highest in terms of a quantitative measure that ties corporate culture to financial performance.

HAPY aims to invest in large-cap US equities deemed corporate culture leaders or those with a high Human Capital Factor score, measured through a proprietary scoring methodology. This methodology quantitatively measures the contribution of a companys corporate culture to its financial performance based on factors such as employee engagement and motivation, trust and transparency, point of view diversity, and compensation fairness. The index includes securities from the SolactiveGBS United States 1000 index (parent index) and uses public and non-public data to calculate the Human Capital Factor score. The index selects the top 70-100 companies and equally weights them during the annual reconstitution and quarterly rebalancing. Prior to September 5, 2023, the ETF's name was Harbor Corporate Culture Leaders ETF.","The investment seeks to provide investment results that correspond, before fees and expenses, to the performance of the Human Capital Factor Unconstrained Index. The fund employs an indexing investment approach designed to track the performance of the index. The fund invests at least 80% of its total assets in securities that are included in the index. The index is designed to deliver exposure to equity securities of U.S. companies identified by Irrational Capital LLC (“Irrational Capital” or the “index provider”) as those it believes to possess strong corporate culture based on its proprietary scoring methodology.","The Harbor Corporate Culture Leaders ETF seeks to provide investment results corresponding to the performance of the Human Capital Factor Unconstrained Index. This index, designed by Irrational Capital LLC, identifies and tracks US companies believed to possess strong corporate culture based on a proprietary quantitative scoring methodology. This method, known as the Human Capital Factor score, links corporate culture to financial performance by evaluating factors such as employee engagement, trust, diversity, and compensation fairness. The index typically selects the top 70-100 highest-scoring large-cap US-listed companies and assigns them equal weighting, with annual reconstitution and quarterly rebalancing. The ETF employs an indexing investment approach, investing at least 80% of its total assets in securities included in the index.","The fund employs an indexing investment approach designed to track the performance of the index. The fund invests at least 80% of its total assets in securities that are included in the index. The index is designed to deliver exposure to equity securities of large cap U.S. companies that demonstrate high employee engagement, based on scores produced by Irrational Capital LLC."
MEDI,Harbor Health Care ETF,"The fund invests primarily in equity securities, principally common and preferred stocks of companies of any market capitalization. Under normal market conditions, the fund invests at least 80% of its net assets, plus borrowings for investment purposes, in securities of companies principally engaged in the research, development, production, or distribution of products and services related to the health care industry (“health care companies”). It is non-diversified.","MEDI seeks long-term capital growth by actively managing a narrow portfolio of stocks engaged in the health care sector globally.

MEDI invests in a narrow portfolio of 30 to 50 stocks from around the world within the broad health care sector. Companies may include manufacturers of health care equipment, service providers, pharmaceuticals, biotechnology, and health care technology. Securities are selected based on the advisors assessment of both quantitative and qualitative data. Fundamental criteria considered concentrates on a companys valuation, financial metrics, competitive advantage, market opportunity, capital structure management record and may include other metrics obtained through personal interviews with a company. The advisor believes that superior management, insider ownership, unique market positions, broad market opportunity, solid accounting and financial operations can supplement capital growth.","The investment seeks long-term growth of capital. The fund invests primarily in equity securities, principally common and preferred stocks of companies of any market capitalization. Under normal market conditions, the fund invests at least 80% of its net assets, plus borrowings for investment purposes, in securities of companies principally engaged in the research, development, production, or distribution of products and services related to the health care industry (“health care companies”). It is non-diversified.","The Harbor Health Care ETF seeks long-term capital growth by actively managing a narrow, non-diversified portfolio of 30 to 50 equity securities. It invests primarily in companies engaged globally in the broad health care sector, including those involved in research, development, production, or distribution of products and services, across any market capitalization. Under normal market conditions, the fund invests at least 80% of its net assets in such health care companies. Securities are selected based on fundamental criteria derived from quantitative and qualitative analysis.","The fund invests primarily in equity securities, principally common and preferred stocks of companies of any market capitalization. Under normal market conditions, the fund invests at least 80% of its net assets, plus borrowings for investment purposes, in securities of companies principally engaged in the research, development, production, or distribution of products and services related to the health care industry (“health care companies”). It is non-diversified."
VICE,AdvisorShares Vice ETF,"The fund is an actively managed ETF that seeks to achieve its investment objective by investing, under normal circumstances, at least 80% of its net assets in securities of (i) companies that derive at least 50% of their net revenue from tobacco and alcoholic beverages, (ii) companies that derive at least 50% of their net revenue from the food and beverage industry, and (iii) companies that derive at least 50% of their net revenue from gaming activities. It invests primarily in U.S. exchange listed equity securities, including common and preferred stock and ADRs.","VICE is managed contrary to popular ESG themes, the fund focuses solely on vice activitiesit invests in US-listed companies that generate at least 50% of their revenue from alcohol or tobacco, food and beverage, or gaming-related businesses. Gaming-related businesses include casinos, sports betting (including esports and racetracks), lottery services, gaming technology and equipment. VICE can invest across the industry spectrum but is mandated to keep at least 25% of its investments in the consumer staples sector. Other than this, the funds active manager has broad discretion in which companies to select. Prior to Nov. 1, 2020, the fund traded under the ticker ACT and focused on alcohol, cannabis, and tobacco related-stocks.","The investment seeks long-term capital appreciation. The fund is an actively managed ETF that seeks to achieve its investment objective by investing, under normal circumstances, at least 80% of its net assets in securities of (i) companies that derive at least 50% of their net revenue from tobacco and alcoholic beverages, (ii) companies that derive at least 50% of their net revenue from the food and beverage industry, and (iii) companies that derive at least 50% of their net revenue from gaming activities. It invests primarily in U.S. exchange listed equity securities, including common and preferred stock and ADRs.","The AdvisorShares Vice ETF (VICE) is an actively managed fund seeking long-term capital appreciation by investing primarily in U.S. exchange-listed equity securities. Managed contrary to popular ESG themes, the fund focuses on companies deriving at least 50% of their net revenue from specific sectors: tobacco and alcoholic beverages, the food and beverage industry, or gaming activities, including casinos, sports betting, and related technology. Under normal circumstances, the ETF aims to invest at least 80% of its net assets in securities of such companies, with a specific mandate to maintain at least 25% of investments in the consumer staples sector. The active manager has broad discretion in selecting companies within these parameters.","The fund is an actively managed ETF that seeks to achieve its investment objective by investing, under normal circumstances, at least 80% of its net assets in securities of (i) companies that derive at least 50% of their net revenue from tobacco and alcoholic beverages, (ii) companies that derive at least 50% of their net revenue from the food and beverage industry, and (iii) companies that derive at least 50% of their net revenue from gaming activities. It invests primarily in U.S. exchange listed equity securities, including common and preferred stock and ADRs."
FAS,Direxion Daily Financial Bull 3X Shares,"The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index, that, in combination, provide 3X daily leveraged exposure to the index, consistent with the fund's investment objective. The index includes securities of companies from the following industries: financial services; insurance; banks; capital markets; mortgage real estate investment trusts; and consumer finance. It is non-diversified.","FAS provides 3x leveraged exposure to a market cap-weighted index of US large-cap financial companies.

FAS is an aggressive and bullish one-day bet on large-cap US financials stocks. It provides 3x leveraged exposure to a market cap-weighted index that captures the financials segment of the S&P 500 based on GICS. To gain exposure to the index, FAS invests in swap agreements, securities of the index, and ETFs that track the index. As a leveraged product, FAS is not a buy-and-hold ETF, it is a short-term tactical instrument. The fund rebalances daily. As a result, compounding and path dependency make its long-term returns difficult to predict when compared with its underlying index. Over longer periods, returns can vary significantly from 3x exposure to its underlying index. Prior to February 28, 2022, the fund tracked the Russell 1000 Financials Services Index. On August 1, 2022, the fund ceased tracking the Russell 1000 Financials 40 Act 15/22.5 Daily Capped Index.","The investment seeks daily investment results, before fees and expenses, of 300% of the daily performance of the Financials Select Sector Index. The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index, that, in combination, provide 3X daily leveraged exposure to the index, consistent with the fund's investment objective. The index includes securities of companies from the following industries: financial services; insurance; banks; capital markets; mortgage real estate investment trusts; and consumer finance. It is non-diversified.","The Direxion Daily Financial Bull 3X Shares (FAS) seeks daily investment results, before fees and expenses, of 300% of the daily performance of the Financials Select Sector Index. This non-diversified, market-cap weighted index captures the large-cap US financials segment, encompassing industries such as financial services, insurance, banks, capital markets, mortgage real estate investment trusts, and consumer finance. To achieve this objective, the fund invests at least 80% of its net assets in financial instruments like swap agreements, index securities, and ETFs that track the index, providing 3x daily leveraged exposure. As a leveraged product designed for aggressive, short-term tactical trading, FAS is rebalanced daily; consequently, due to the effects of compounding and path dependency, its returns over periods longer than a single day can vary significantly from three times the performance of the underlying index, and it is not intended for buy-and-hold investing.","The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index includes securities of companies from the following industries: Banks; Thrifts & Mortgage Finance; Diversified Financial Services; Consumer Finance; capital markets; Insurance; and Mortgage REITs. It is non-diversified."
HLGE,Hartford Longevity Economy ETF,The fund generally invests at least 80% of its assets in securities included in the index and in depositary receipts representing securities included in the index.,"HLGE tracks an index of US companies expected to benefit from the growth of the aging population and the substantial buying power it represents.

HLGE seeks to invest in companies providing goods or services that reflect the longevity economy theme as identified by the fund adviser. Such themes include, but are not limited to: aging in place/home modification, working longer/private education, performance health and comfort, wellbeing, maintaining social connections, financial freedom, staying mobile, human enhancement, leisure and entertainment. The fund advisers investment approach also includes identifying and assigning weightings to stocks with attractive factor characteristics, including valuation, momentum, and quality.","The investment seeks to provide investment results that, before fees and expenses, correspond to the total return performance of the Hartford Longevity Economy Index (LHLGEX), which is designed to generate attractive risk-adjusted returns by investing in companies that comprise industries that reflect certain themes that are expected to benefit from the growth of the aging population and the substantial buying power it represents. The fund generally invests at least 80% of its assets in securities included in the index and in depositary receipts representing securities included in the index.","The Hartford Longevity Economy ETF (HLGE) aims to provide investment results corresponding to the total return performance of the Hartford Longevity Economy Index (LHLGEX). This index is designed to generate attractive risk-adjusted returns by tracking US companies expected to benefit from the growth and substantial buying power of the aging population. The strategy focuses on companies providing goods or services within specific longevity economy themes, including aging in place, health, wellbeing, and leisure, and utilizes factors such as valuation, momentum, and quality for weighting decisions. The fund generally invests at least 80% of its assets in securities included in this index or their depositary receipts.",The fund generally invests at least 80% of its assets in securities included in the index and in depositary receipts representing securities included in the index.
TAN,Invesco Solar ETF,"The fund will generally invest at least 90% of its total assets in the securities that comprise the underlying index. Strictly in accordance with its guidelines and mandated procedures, MAC Indexing LLC, has contracted with S&P DJI Netherlands B.V. to calculate and administer the underlying index, which seeks to track the performance of companies in global solar energy businesses. The fund is non-diversified.","TAN tracks an index of global solar energy companies selected based on the revenue generated from solar related business.

TAN offers a unique take on renewable energy, holding a concentrated portfolio of companies involved in the solar energy industry, thus cutting out much of the broader renewable energy market. Selection begins with global solar energy companies of all caps including all solar technologies (crystalline and thin-film photovoltaic solar and solar thermal), the entire value chain (raw materials, installers, to financing), and related solar equipment (power inverters and encapsulates). Eligible companies are categorized into either pure-play or medium-play. Pure-play companies have the solar industry as their primary business, generating more than two-thirds of their revenue. Medium-play companies cover those with multiple business industries but still generate more than one-third of their revenue from solar-related businesses. The funds weighting tilts towards pure-plays and underweights the medium-play firms. The index is rebalanced quarterly.","The investment seeks to track the investment results (before fees and expenses) of the MAC Global Solar Energy Index. The fund will generally invest at least 90% of its total assets in the securities that comprise the underlying index. Strictly in accordance with its guidelines and mandated procedures, MAC Indexing LLC, has contracted with S&P DJI Netherlands B.V. to calculate and administer the underlying index, which seeks to track the performance of companies in global solar energy businesses. The fund is non-diversified.","The Invesco Solar ETF (TAN) seeks to track the performance of the MAC Global Solar Energy Index, which is composed of global companies generating revenue from solar energy businesses. The fund invests at least 90% of its assets in index securities and offers a concentrated, non-diversified exposure specifically to the solar industry, encompassing the entire value chain from raw materials and technologies to installation and financing, while excluding broader renewable energy sources. The index selects companies based on their solar revenue contribution, categorizing them as ""pure-play"" or ""medium-play"" and weighting them to favor companies with a higher proportion of revenue derived from solar. The index is rebalanced quarterly.","The fund will generally invest at least 90% of its total assets in the securities that comprise the underlying index.Strictly in accordance with its guidelines and mandated procedures, MAC Indexing LLC, has contracted with S&P DJI Netherlands B.V. to calculate and administer the underlying index, which is a rules-based index that seeks to track the performance of companies in global solar energy businesses. The fund is non-diversified."
URE,ProShares Ultra Real Estate,"The fund invests in financial instruments that the advisors believe, in combination, should produce daily returns consistent with the Daily Target. The index is designed to measure the performance of real estate companies included in the S&P 500 Index. Under normal circumstances, the fund will obtain leveraged exposure to at least 80% of its total assets in components of the index or in instruments with similar economic characteristics. The fund is non-diversified.","URE provides 2x leveraged exposure to the S&P Real Estate Select Sector Index a market cap-weighted index of US real estate companies, as classified by S&P Dow Jones. The underlying index does a good job of capturing the US real estate space. On the other hand, URE is designed as a short-term trading vehicle rather than a long-term investmentcompounding and path dependency make its long-term returns difficult to predict. Aside from the daily compounding of returns, URE also engages in daily rebalancing. The index undergoes annual reconstitution and quarterly review. Prior to March 17, 2023, the fund tracked the Dow Jones US Real Estate Index.","The investment seeks daily investment results that correspond to two times (2x) the daily performance of the S&P Real Estate Select Sector Index. The fund invests in financial instruments that the advisors believe, in combination, should produce daily returns consistent with the Daily Target. The index is designed to measure the performance of real estate companies included in the S&P 500 Index. Under normal circumstances, the fund will obtain leveraged exposure to at least 80% of its total assets in components of the index or in instruments with similar economic characteristics. The fund is non-diversified.","The ProShares Ultra Real Estate (URE) ETF seeks daily investment results corresponding to two times (2x) the daily performance of the S&P Real Estate Select Sector Index. This index is a market cap-weighted measure of US real estate companies included in the S&P 500 Index. URE aims to achieve its daily target by investing in financial instruments providing leveraged exposure to at least 80% of its total assets in index components or instruments with similar economic characteristics. The fund employs daily rebalancing and is classified as non-diversified. Designed primarily as a short-term trading vehicle, the fund is generally not suitable for long-term holding due to the effects of compounding and path dependency; its returns over periods other than a single day will likely differ significantly from two times the index return for that period. Note that prior to March 17, 2023, the fund tracked the Dow Jones US Real Estate Index.","The fund invests in financial instruments that the advisors believe, in combination, should produce daily returns consistent with the fund's investment objective. The index is designed to track the performance of REITs and other companies that invest directly or indirectly in real estate through development, management, or ownership, including property agencies. Component companies include, among others, real estate holding and development and real estate services companies and REITs. The fund is non-diversified."
IGRO,iShares International Dividend Growth ETF,"The fund seeks to track the investment results of the index, which is a dividend dollars weighted index that seeks to measure the performance of international equities selected based on a consistent history of growing dividends. It will invest at least 80% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents.","IGRO provides exposure to the top 97% of market capitalization in developed and emerging markets excluding the US. IGRO focuses the potential for dividend increases rather than high current dividend yield. It tracks an index of international equities that have been increasing dividends for at least five years, but are still paying out less than 75% of earnings. Selected equities should not already be a top dividend payer (top 10% of equities within the selection universe by trailing twelve-month dividend yield) as they are expected to have room for further growth. The index undergoes quarterly rebalance and semi-annual reconstitution. IGROs sibling fund DGRO provides US exposure.","The investment seeks to track the investment results of the Morningstar® Global ex-US Dividend Growth IndexSM. The fund seeks to track the investment results of the index, which is a dividend dollars weighted index that seeks to measure the performance of international equities selected based on a consistent history of growing dividends. It will invest at least 80% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents.","The iShares International Dividend Growth ETF (IGRO) aims to measure the performance of international equities, excluding the US, selected for their history and potential for growing dividends rather than high current yield. Tracking the Morningstar® Global ex-US Dividend Growth IndexSM, the fund focuses on companies from developed and emerging markets that have increased dividends for at least five years, maintain a payout ratio below 75% of earnings, and are not already among the highest current dividend payers to emphasize future growth potential. The index is weighted by dividend dollars and undergoes quarterly rebalancing and semi-annual reconstitution. The fund typically invests at least 80% of its assets in the index's component securities or substantially identical investments.","The fund seeks to track the investment results of the index, which is a dividend dollars weighted index that seeks to measure the performance of international equities selected based on a consistent history of growing dividends. It will invest at least 80% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
MCH,Matthews China Active ETF,"Under normal circumstances, the fund seeks to achieve its investment objective by investing at least 80% of its net assets, which include borrowings for investment purposes, in the common and preferred stocks of companies located in China. China includes its administrative and other districts, such as Hong Kong and Macau. The fund seeks to invest in companies capable of sustainable growth based on the fundamental characteristics of those companies.","MCH launched as part of Matthews Asias first ETF offerings. It invests in common and preferred stocks of companies located in China, including administrative regions Hong Kong and Macau. The fund covers a wide array of investable Chinese shares, such as A-shares, B-shares, H-shares, N-shares, Red Chips, and P-Chips. It may also invest in constituents of its benchmark, the MSCI China Index. While the fund has an all-cap exposure, it expects to invest in large- and mid-cap companies. The fund looks for sustainable growth based on fundamental characteristics such as balance sheet information, size, cash flow stability, and financial health. The fund may also employ exclusionary ESG screens, which avoid controversial businesses, such as tobacco, weapons, and fossil fuels. The fund issuer may engage with its portfolio companies on sustainability and governance matters through active dialogue, exercising shareholder rights, and encouraging enhanced ESG disclosure and implementation.","The investment seeks long-term capital appreciation. Under normal circumstances, the fund seeks to achieve its investment objective by investing at least 80% of its net assets, which include borrowings for investment purposes, in the common and preferred stocks of companies located in China. China includes its administrative and other districts, such as Hong Kong and Macau. The fund seeks to invest in companies capable of sustainable growth based on the fundamental characteristics of those companies.","The Matthews China Active ETF seeks long-term capital appreciation by actively investing at least 80% of its net assets in the common and preferred stocks of companies located in China, including Hong Kong and Macau. The fund aims to identify companies capable of sustainable growth based on a fundamental analysis of characteristics such as balance sheet strength, size, cash flow stability, and overall financial health. It offers broad exposure across a wide array of Chinese share types, including A, B, H, N, Red, and P Chips, and while it has an all-cap mandate, it expects to focus primarily on large- and mid-cap companies. The strategy may also incorporate exclusionary ESG screens for controversial businesses, and the issuer may engage with portfolio companies on sustainability and governance matters.","Under normal circumstances, the fund seeks to achieve its investment objective by investing at least 80% of its net assets, which include borrowings for investment purposes, in the common and preferred stocks of companies located in China. China includes its administrative and other districts, such as Hong Kong and Macau. The fund seeks to invest in companies capable of sustainable growth based on the fundamental characteristics of those companies."
