symbol,name,merged_description,description_original,description_etfcom,description_yahoo,description_morningstar
IBLC,iShares Blockchain and Tech ETF,"This investment fund seeks to track a global index composed of U.S. and non-U.S. companies central to the development, innovation, and utilization of blockchain and cryptocurrency technologies. Its portfolio focuses on firms deriving significant revenue (typically at least 50%) from these activities, categorized into primary blockchain/crypto operations (like mining, exchanges, and tech development) and secondary enablers (such as GPU manufacturers). The underlying index includes at least 35 constituents, weighted by float-adjusted market capitalization, with a strong emphasis (at least 75% aggregate weight) on the primary companies and specific caps applied to individual security weights based on their tier. Committing to investing at least 80% of its assets in securities mirroring its index or possessing substantially identical economic characteristics, the fund may allocate the remaining portion to derivatives, cash, cash equivalents, or other securities outside the index. Notably, the fund is classified as non-diversified.","The fund invests at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents as well as in securities not included in theindex. It is non-diversified.","IBLC tracks an index of global companies that are involved in the development, innovation, and utilization of blockchain and crypto technologies. The index aims to select Tier 1 companies, primarily those involved in cryptocurrency mining, cryptocurrency trading and exchanges, crypto-mining systems or blockchain technology. It also aims to select Tier 2 companies, which are those that design and manufacture graphics processing unit (GPU) chips necessary for mining. Eligible companies must have at least 50% of their revenue from the relevant theme. The index will have a minimum of 35 constituents, which will include all Tier 1 securities and a minimum of 10 Tier 2 securities, selected in descending order of float-adjusted market-cap. The component securities of the index are weighted by float-adjusted market-cap with Tier 1 securities allocated a minimum weight of 75% in aggregate. Individual Tier 1 securities are capped at 12%, and Tier 2 securities are capped at 4%.","The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. It is non-diversified.","The investment seeks to track the NYSE FactSet Global Blockchain Technologies Index composed of U.S. and non-U.S. companies that are involved in the development, innovation, and utilization of blockchain and crypto technologies. The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. It is non-diversified."
VFTAX,Vanguard FTSE Social Index Fund Admiral Shares,"Employing an indexing strategy, this fund seeks to replicate the performance of an index composed of large- and mid-capitalization stocks that have been screened by the index provider according to specific environmental, social, and corporate governance (ESG) criteria. To mirror the index, the manager invests substantially all of the fund's assets in the constituent stocks, holding them in proportions closely matching their weighting within the index. It's important to note that this fund is classified as non-diversified.","The advisor employs an indexing investment approach designed to track the performance of the index. The index is composed of large- and mid-cap stocks of companies that are screened for certain environmental, social, and corporate governance (ESG) criteria by the index sponsor. The manager attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.",,"The index is composed of large- and mid-cap stocks of companies that are screened for certain environmental, social, and corporate governance (ESG) criteria by the index provider. The manager attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index. It is non-diversified.","The investment seeks to track the performance of the FTSE U.S. Choice Index Index that measures the investment return of large- and mid-capitalization stocks. The index is composed of large- and mid-cap stocks of companies that are screened for certain environmental, social, and corporate governance (ESG) criteria by the index provider. The manager attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index. It is non-diversified."
ERX,Direxion Daily Energy Bull 2X Shares,"This investment vehicle seeks to provide 200% of the daily performance of the Energy Select Sector Index, a market-cap-weighted index composed of large US energy companies from the S&P 500, primarily in oil, gas, consumable fuels, and energy equipment/services sectors. To achieve this amplified daily exposure, the non-diversified fund invests heavily (at least 80% of assets) in financial instruments, including swaps and securities tracking the index. It rebalances daily, making it suitable primarily for short-term trading strategies rather than long-term holding, as compounding effects can cause its extended performance to deviate significantly from twice the underlying index's cumulative return.","The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index is provided by S&P Dow Jones Indices and includes domestic companies from the energy sector which includes the following industries: oil, gas and consumable fuels; and energy equipment and services. The fund is non-diversified.","ERX provides 2x leveraged exposure to the S&P Energy Select Sector Indexa market-cap-weighted index of US energy companies from the S&P 500, heavily-weighted towards the handful of firms that dominate the energy sector. Providing hyper-concentrated exposure to a concentrated sector, ERX isnt designed to be a long-term investmentinstead, it should be used as a short-term trading vehicle. The fund rebalances daily. As a result, compounding and path dependency make its long-term returns difficult to predict when compared with its underlying index and beta-1 funds, such as XLE, that track that index. Note: Prior to March 31, 2020, the fund provided 3x daily exposure to the same index.","The index is provided by S&P Dow Jones Indices and includes domestic companies from the energy sector which includes the following industries: oil, gas and consumable fuels; and energy equipment and services. The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index, that, in combination, provide 2X daily leveraged exposure to the index, consistent with the fund's investment objective. It is non-diversified.","The investment seeks daily investment results of 200% of the daily performance of the Energy Select Sector Index. The index is provided by S&P Dow Jones Indices and includes domestic companies from the energy sector which includes the following industries: oil, gas and consumable fuels; and energy equipment and services. The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index, that, in combination, provide 2X daily leveraged exposure to the index, consistent with the fund's investment objective. It is non-diversified."
KLIP,KraneShares Trust - KraneShares China Internet and Covered Call Strategy ETF,"This investment vehicle aims to generate current income by primarily investing in an underlying fund that tracks the performance of China-based internet and internet-related companies, specifically reflecting the CSI Overseas China Internet Index. It employs a covered call strategy, systematically writing monthly, at-the-money, European-style FLEX call options covering the full value of its holdings in the underlying fund. While this approach is designed to provide income and potentially reduce volatility compared to directly holding the underlying assets, it inherently limits the potential for capital appreciation, especially during strong market upswings. The fund adheres to a policy of investing at least 80% of its assets in this strategy and is classified as non-diversified.","Under normal circumstances, the fund invests at least 80% of its net assets in the component securities of the CSI Overseas China Internet Index or in instruments that have economic characteristics similar to those in the index and writes covered call options on the index or in instruments that have economic characteristics similar to writing covered call options on the index. Currently, the adviser intends to invest in KraneShares CSI China Internet ETF (“underlying fund”) and to write (sell) covered call options on the underlying fund. The fund is non-diversified.","KLIP is a fund-of-fund that tracks an index of China-based internet stocks and sells one-month, at-the-money call options on the full amount of the portfolio.

KLIP is a fund-of-fund that aims to provide some growth and a little yield from an index of China-based internet and internet-related stocks sectors. The fund utilizes a covered call strategy, it holds ETF shares of the reference index and writes one-month, at-the-money FLEX call options on the full portfolio value. The call options sold by the fund are European-style, meaning the options can only be exercised at the expiration date each month. The funds strategy should reduce volatility and help generate some income, compared to the reference index, but it may also cause a drag on the overall upside potential. Should the index rally, the fund is expected to underperform.",,"The investment seeks to provide current income. Under normal circumstances, the fund invests at least 80% of its net assets in the component securities of the CSI Overseas China Internet Index or in instruments that have economic characteristics similar to those in the index and writes covered call options on the index or in instruments that have economic characteristics similar to writing covered call options on the index. Currently, the adviser intends to invest in KraneShares CSI China Internet ETF (“underlying fund”) and to write (sell) covered call options on the underlying fund. The fund is non-diversified."
NULG,Nuveen ESG Large-Cap Growth ETF,"This exchange-traded fund aims to track an index comprising large-capitalization U.S. equity securities that exhibit growth characteristics while meeting specific environmental, social, and governance (ESG) criteria. Typically investing at least 80% of its assets in these index components, the fund selects stocks from a broader U.S. growth universe based on metrics like earnings growth and sales growth. Companies are then screened and ranked on ESG factors such as climate change impact, resource use, ethics, and compliance, explicitly excluding involvement in industries like weapons, gambling, alcohol, and tobacco. The strategy includes the top 50% of these ESG-ranked growth companies within each sector, utilizing a multi-factor optimizer for weighting to maintain characteristics similar to a parent growth index, with quarterly rebalancing.","Under normal market conditions, the fund invests at least 80% of the sum of its net assets and the amount of any borrowings for investment purposes in the securities of large-capitalization companies. The index is comprised of equity securities issued by large capitalization companies listed on U.S. exchanges that meet certain environmental, social, and governance (""ESG"") criteria.","NULG tracks an index composed of large-cap US companies with growth characteristics that also meet certain environmental, social, and governance (ESG) criteria.

NULG invests in companies within the MSCI USA Growth Index (the parent index) which exhibit positive ESG characteristics. The growth aspect is determined by five metrics: long- and short-term forward EPS growth, current internal growth rate, long-term forward EPS, and long-term historical sales growth. The index then ranks companies within the parent index according to their impact on climate change, natural resource use, waste and emission management, safety, ethics, and compliance with national and international rules and regulations, among other categories. Companies with significant activity involving weapons, gambling, alcohol, and tobacco are specifically excluded. The top 50% of these ESG-ranked growth companies are selected for inclusion, per sector within the index and then weighted by a multi-factor optimizer that aims to keep holdings and performance similar to the parent index. The index is rebalanced and reconstituted quarterly starting each February.","Under normal market conditions, the fund invests at least 80% of the sum of its net assets and the amount of any borrowings for investment purposes in component securities of the index. The index is comprised of equity securities issued by large capitalization companies listed on U.S. exchanges that meet certain environmental, social, and governance (""ESG"") criteria.","The investment seeks to track the investment results, before fees and expenses, of the TIAA ESG USA Large-Cap Growth Index (the ""index""). Under normal market conditions, the fund invests at least 80% of the sum of its net assets and the amount of any borrowings for investment purposes in component securities of the index. The index is comprised of equity securities issued by large capitalization companies listed on U.S. exchanges that meet certain environmental, social, and governance (""ESG"") criteria."
YETH,Roundhill Ether Covered Call Strategy ETF,"This fund primarily aims to provide monthly income, while secondarily offering exposure to the price returns of US-listed exchange-traded funds holding Ether futures contracts, although potential gains from this exposure are capped. It utilizes a synthetic covered call strategy implemented through options, creating synthetic long exposure designed to replicate the Ether futures ETFs while simultaneously writing monthly, typically out-of-the-money, call options against this exposure to generate income. This call writing limits participation in significant upward price movements of the underlying ETFs. The fund may also hold US Treasurys, cash, and potentially shares of the underlying Ether futures ETFs directly. Importantly, it does not invest directly in Ether, provides no direct exposure to its spot price, remains exposed to downside risk associated with the underlying ETFs, and is classified as non-diversified.","The fund seeks to achieve its investment objectives through the use of a synthetic covered call strategy that provides current income on a monthly basis, while also providing exposure to the price return of one or more exchange-traded funds (“ETFs”) that provide exposure to ether and whose shares trade on a U.S.-regulated securities exchange. The fund is non-diversified.","YETH aims to generate monthly income while providing exposure to the price returns of one or more US-listed ETFs holding Ether futures contracts (Ether ETFs), subject to a cap on potential gains. The fund utilizes a synthetic covered call strategy via standardized exchange-traded and FLEX options, which consists of i) synthetic long exposure, ii) covered call writing, and iii) US Treasurys and cash. The synthetic long exposure seeks to replicate the price movements of the Ether ETFs by buying call options and selling put options. To generate income, the fund writes one-month, out-of-the-money call options that will be held to or close to expiration. This limits the funds participation in potential gains if the ETF shares increase in value. The short put positions fully expose investors to the downside of the ETF share prices. The fund may directly hold shares of the Ether ETFs. However, the fund does not invest directly in Ether and has no direct exposure to the spot price of Ether.",,"The investment seeks to provide current income; the secondary investment objective is to provide exposure to the price return of one or more exchange-traded funds that provide exposure to ether and whose shares trade on a U.S.-regulated securities exchange. The fund seeks to achieve its investment objectives through the use of a synthetic covered call strategy that provides current income on a monthly basis, while also providing exposure to the price return of one or more exchange-traded funds (“ETFs”) that provide exposure to ether and whose shares trade on a U.S.-regulated securities exchange. The fund is non-diversified."
CLOU,Global X Cloud Computing ETF,"This exchange-traded fund seeks to provide investment results corresponding to a global index of companies positioned to benefit from the increased adoption of cloud computing technology. Investing at least 80% of its assets in the index's securities, including ADRs and GDRs, it offers exposure across developed and emerging markets and various market capitalizations. The underlying index includes firms significantly involved in cloud services—such as software, platform, or infrastructure delivery over the internet—as well as data center ownership/management and related hardware manufacturing/distribution. Inclusion typically requires deriving at least 50% of revenue from these activities, though large firms earning over $500 million from cloud businesses may also qualify, subject to a collective cap. The portfolio employs a market-capitalization weighting approach and is classified as non-diversified.","The fund invests at least 80% of its total assets in the securities of the underlying index and in American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") based on the securities in the underlying index. The underlying index is designed to provide exposure to exchange-listed companies that are positioned to benefit from the increased adoption of cloud computing technology. It is non-diversified.","CLOU provides exposure to a market-cap weighted global equity index of companies involved in the cloud computing industry.

CLOU offers equity exposure to cloud computing firms. It holds firms that license and deliver software over the internet by subscription, provide a platform to create software via internet, provide virtualized computing via internet, own or manage data centers or make or distribute related hardware. Firms must have revenue of at least 50% from these activities to make the cut. The index also allows any firm that earns more than $500M from such actions, regardless of revenue percentage. Aggregate exposure to such firms is capped at 10%. The index selects firms across the cap spectrum and in developed and emerging markets. It applies no additional filters beyond those defining the space. Stocks are cap-weighted.",,"The investment seeks to provide investment results that correspond generally to the price and yield performance, before fees and expenses, of the Indxx Global Cloud Computing Index. The fund invests at least 80% of its total assets in the securities of the underlying index and in American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") based on the securities in the underlying index. The underlying index is designed to provide exposure to exchange-listed companies that are positioned to benefit from the increased adoption of cloud computing technology. It is non-diversified."
MCEF,First Trust Flexible Municipal High Income ETF,"This actively managed exchange-traded fund seeks to generate current income primarily from a diversified portfolio of U.S. municipal debt securities whose interest is generally exempt from regular federal income taxes. Demonstrating significant flexibility, the fund invests across a wide spectrum of municipal bond types, including general obligation, revenue, and private activity bonds, without limitations on maturity or credit quality. Under normal market conditions, at least 80% of its assets are allocated to these tax-exempt securities, and the portfolio may also include bonds subject to the federal alternative minimum tax. While the strategy focuses on direct investment in municipal bonds, representing a shift from a previous fund-of-funds structure, it retains the option to allocate a small portion (up to 10%) of its assets to municipal closed-end funds.","Under normal market conditions, the fund seeks to achieve its investment objective by investing at least 80% of its net assets (plus any investment borrowings) in municipal debt securities that pay interest that is exempt from regular federal income taxes. Municipal debt securities are generally issued by or on behalf of states, territories or possessions of the United States and the District of Columbia and their political subdivisions, agencies, authorities and other instrumentalities.","MFLX seeks to provide current income through an actively managed portfolio of US municipal debt securities whose interests are exempted from federal income taxes. The fund spans a wide range of municipal bonds, including lease obligations, general obligation bonds, revenue bonds, notes, cash equivalents, private activity bonds, as well as pre-refunded and escrowed to maturity bonds. The fund is diversified to invest in municipal bonds of any maturity and credit quality. In addition, the fund may invest, without limitation, in municipal securities that pay interest and generate income subject to federal and state alternative minimum tax. Prior to April 14, 2022, the fund traded as the First Trust Municipal CEF Income Opportunity ETF (Ticker: MCEF). Unlike MCEFs fund-of-CEFs (closed-end funds) structure, MFLX invests in US municipal bonds directly. Although, the fund may still invest in municipal CEFs for up to 10% of its net assets.",,
IYR,iShares U.S. Real Estate ETF,"This fund seeks to replicate the performance of the Dow Jones U.S. Real Estate Capped Index, offering investors exposure to the U.S. real estate equity market. It primarily invests, holding at least 80% of its assets, in the component securities of this underlying index or investments with substantially similar economic characteristics. The portfolio provides broad representation across the sector, including Real Estate Investment Trusts (REITs) and companies engaged in real estate development, management, or ownership, covering various market capitalizations traded on major U.S. exchanges. A significant feature is its capped index methodology, implemented since early 2021 and applied quarterly, which limits the weight of any single issuer to 10% and the aggregate weight of issuers exceeding 4.5% to 22.5%, promoting diversification. Consistent with many REIT investments, distributions from the fund are typically taxed as ordinary income.","The fund seeks to track the investment results of the Dow Jones U.S. Real Estate Capped Index, which measures the performance of the real estate sector of the U.S. equity market, as defined by the ""index provider"". It generally invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index.","IYR is among the first US real estate ETFs and has been a stalwart of the space. The fund tracks a typical broad-based real estate index and captures much of the real estate space including REITs and firms investing directly or indirectly in real estate through development, management, or ownership, including property agencies. The fund may invest in stocks of all capitalization that are trading on major US exchanges. As is the case with other REIT ETFs, distributions from the fund are taxed as ordinary income. Effective Jan. 25, 2021 the fund followed the capped version of its underlying index the Dow Jones U.S. Real Estate Index Capped Index. The strategy stays the same but a capping methodology is applied at the quarterly rebalance. This limits the weight of any single issuer to a maximum of 10% and the aggregate weight of all issuers that individually exceed 4.50% of the index weight to maximum of 22.50%.",,"The investment seeks to track the investment results of the Dow Jones U.S. Real Estate Capped Index. The fund seeks to track the investment results of the Dow Jones U.S. Real Estate Capped Index, which measures the performance of the real estate sector of the U.S. equity market, as defined by the ""index provider"". It generally invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index."
VITAX,Vanguard Information Technology Index Fund Admiral Shs,"This investment fund utilizes a passive indexing approach designed to track the performance of the MSCI US Investable Market Index/Information Technology 25/50. The underlying index comprises U.S. companies classified under the GICS within the information technology sector, spanning large, mid, and small market capitalizations. To achieve its objective, the fund seeks to invest substantially all of its assets in the constituent stocks of the index, holding them in approximately the same proportions as their index weightings. It operates as a non-diversified fund.","The fund employs an indexing investment approach designed to track the performance of the MSCI US Investable Market Index/Information Technology 25/50, an index made up of stocks of large, mid-size, and small U.S. companies within the information technology sector, as classified under the Global Industry Classification Standard. The Advisor attempts to replicate the target index by seeking to invest all, or substantially all, of its assets in the stocks that make up the index, in order to hold each stock in approximately the same proportion as its weighting in the index. It is non-diversified.",,"The fund employs an indexing investment approach designed to track the performance of the index, an index made up of stocks of large, mid-size, and small U.S. companies within the information technology sector, as classified under the GICS. The Advisor attempts to replicate the target index by seeking to invest all of its assets in the stocks that make up the index, in order to hold each stock in approximately the same proportion as its weighting in the index. It is non-diversified.","The investment seeks to track the performance of the MSCI US Investable Market Index/Information Technology 25/50. The fund employs an indexing investment approach designed to track the performance of the index, an index made up of stocks of large, mid-size, and small U.S. companies within the information technology sector, as classified under the GICS. The Advisor attempts to replicate the target index by seeking to invest all of its assets in the stocks that make up the index, in order to hold each stock in approximately the same proportion as its weighting in the index. It is non-diversified."
KLNE,Direxion Daily Global Clean Energy Bull 2X Shares,"This fund, which ceased trading on exchanges after July 19, 2024, was structured as a leveraged ETF seeking to provide double the daily return of an underlying index representing the global clean energy sector. Its investment strategy involved using at least 80% of its assets in financial instruments, such as swap agreements and index-linked securities, to achieve this 2x daily leveraged exposure. The index comprised companies from developed and emerging markets whose businesses focused on biofuels, solar, wind, geothermal, hydroelectric power, and associated technologies or equipment, selected and weighted based on market-cap and exposure scores with semi-annual reconstitution. Characterized as non-diversified and designed strictly for daily performance objectives, this ETF was unsuitable for investors with a long-term, buy-and-hold strategy.","The index is designed to track the performance of companies from developed markets whose economic fortunes are tied to the global clean energy business. The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. It is non-diversified.","The security was delisted.The last day of trading on an exchange is July 19, 2024. KLNE aims to deliver 2x the daily returns of its underlying index, which is comprised of companies involved in the biofuels, ethanol, geothermal, hydroelectric, solar, and wind industries. Aside from holding companies that produce energy through these means, KLNE also includes companies that develop technology and equipment used in the process. Selected by the index committee, the fund is weighted by market-cap and exposure score subject to several constraints and reconstituted semi-annually. As a levered product, KLNE is not a buy-and-hold investment and should not be expected to provide index leverage returns greater than a one-day period.","The index is designed to track the performance of companies from developed and emerging markets whose economic fortunes are tied to the global clean energy business. The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and exchange-traded funds (""ETFs"") that track the index, that, in combination, provide 2X daily leveraged exposure to the index, consistent with the fund's investment objective. It is non-diversified.",
DUSL,Direxion Daily Industrials Bull 3X Shares,"This investment vehicle seeks daily investment results corresponding to 300% (3X) of the daily performance of a market-cap-weighted index composed of US companies within the industrials sector, as classified by GICS. To achieve this objective, the fund normally invests at least 80% of its net assets in a combination of financial instruments, such as swap agreements, index securities, and related ETFs, designed to provide this leveraged daily exposure. It is important to note that this non-diversified fund is structured to magnify *daily* index performance through a daily reset mechanism; due to compounding effects over time, it is intended primarily as a short-term trading tool rather than a long-term investment strategy.","The fund, under normal circumstances, invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or ETFs that track the index. The index includes domestic companies from the industrials sector which includes the following industries: aerospace and defense; industrial conglomerates; marine and etc. The fund is non-diversified.","DUSL provides 3X leveraged exposure to a market-cap-weighted index of US industrial companies.

DUSL is a daily 3X leveraged bet on the S&P Dow Jones Industrials Select Sector Index, a market-cap-weighted index of US-listed industrial sector stocks. The geared 3X nature of DUSL is designed to magnify the daily performance of the index, not to return 300% of the index performance over extended periods of time. Due to compounding and the daily reset function, the fund is meant to be a trading vehicle for investors to make short-term bets on the direction of the industrial sector and not a long-term investment strategy. Compounding becomes more pronouncedand more of a concernas holding periods increase, and the fund is likely to stray from the returns of the underlying index in such cases.","The fund, under normal circumstances, invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index, that, in combination, provide 3X daily leveraged exposure to the index, consistent with the fund's investment objective. The index includes domestic companies from the industrials sector as classified by the Global Industry Classification Standards (“GICS”). The fund is non-diversified.","The investment seeks daily investment results, before fees and expenses, of 300% of the daily performance of the Industrials Select Sector Index. The fund, under normal circumstances, invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index, that, in combination, provide 3X daily leveraged exposure to the index, consistent with the fund's investment objective. The index includes domestic companies from the industrials sector as classified by the Global Industry Classification Standards (“GICS”). The fund is non-diversified."
PTL,Inspire 500 ETF,"This passively managed ETF invests in approximately 500 US large-capitalization stocks, selected based on a proprietary scoring methodology emphasizing alignment with biblical values and positive societal impact. Its underlying market-cap-weighted index excludes companies involved in specific activities like abortion, gambling, alcohol, and rights violations, according to the provider's criteria. Conversely, it favors companies demonstrating positive performance in areas such as business ethics, employee well-being, and environmental stewardship. The index is reconstituted and rebalanced annually.","The advisor generally invests at least 80% of its total assets in the component securities of the index. The fund’s index provider selects domestic large capitalization equity securities using the Adviser’s Inspire Impact Score™, a proprietary selection methodology that is designed to assign a score to a particular security based on the security’s alignment with biblical values and the positive impact that company has on its customers, communities, workplace and the world.","PTL tracks a market-cap-weighted index of 500 large-cap US stocks, selected based on the issuers proprietary criteria of biblical values.

PTL is passively managed to invest in US large-cap stocks that align with the issuer's definition of biblical values and positive impact on the world, measured using various environmental, social, and governance criteria. The index provider analyzes publicly available and third-party data to assign a proprietary Impact Score to each eligible stock. The methodology excludes stocks with any degree of involvement in activities such as abortion, gambling, alcohol, tobacco, cannabis, stem cell research, in vitro fertilization, pornography, rights violations, and LGBT activism. The remaining stocks are scored based on how well they align with the issuer's values, considering factors including business ethics, employee wellbeing, customer welfare, product safety, ecological impact, and GHG emissions. The index selects the 500 highest-scoring stocks and weights them by market capitalization. Index components are reconstituted and rebalanced annually.",,"The investment seeks to replicate investment results that generally correspond, before fees and expenses, to the performance of the Inspire 500 Index. The advisor generally invests at least 80% of its total assets in the component securities of the index. The fund’s index provider selects domestic large capitalization equity securities using the Adviser’s Inspire Impact Score™, a proprietary selection methodology that is designed to assign a score to a particular security based on the security’s alignment with biblical values and the positive impact that company has on its customers, communities, workplace and the world."
IYZ,iShares U.S. Telecommunications ETF,"This investment vehicle aims to track the results of the Russell 1000 Telecommunications RIC 22.5/45 Capped Index, providing focused exposure to the U.S. telecommunications sector as defined by FTSE Russell. It typically invests at least 80% of its assets in the index's constituent large-cap U.S. companies, encompassing both telecommunications equipment makers and service providers. The portfolio employs a market-capitalization weighting methodology, adjusted by regulatory capping rules limiting individual stock concentrations (22.5%) and the aggregate weight of larger positions (45%). Managed through quarterly rebalancing, the fund's concentrated approach within a single sector results in a non-diversified classification.","The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index measures the performance of the telecommunications sector of the U.S. equity market, as defined by FTSE Russell. The fund is non-diversified.","IYZ tracks a market-cap-weighted index of large-cap US companies involved in the telecommunications industry.

IYZ covers the telecommunications segment of the US large-cap equity market. It holds a concentrated portfolio of firms involved in telecom equipment and telecom service providers such as cable television services. The underlying index is part of Russells US large cap sector indicesa series of representative indices that integrates ICBs sector classification framework on Russell 1000. Holdings are market-cap-weighted, subject to regulatory capping which limits single security weights at 22.5% and aggregate weight of securities exceeding 4.5% allocation at 45%. Index rebalancing occurs quarterly. Prior to September 20, 2021, the fund tracked the Dow Jones US Select Telecommunications Index.",,"The investment seeks to track the investment results of the Russell 1000 Telecommunications RIC 22.5/45 Capped Index. The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index measures the performance of the telecommunications sector of the U.S. equity market, as defined by FTSE Russell. The fund is non-diversified."
XLRE,The Real Estate Select Sector SPDR Fund,"This fund aims to provide investment results closely corresponding to the price and yield performance of a specific market-cap-weighted index representing the real estate sector of the S&P 500. It offers targeted exposure by investing substantially all, at least 95%, of its assets in the index's constituent securities under normal conditions. These securities comprise companies identified by GICS as part of the real estate sector, including real estate management, development firms, and equity REITs, but explicitly exclude mortgage REITs. Consequently, the fund holds a concentrated, non-diversified portfolio heavily weighted towards large-cap stocks and is rebalanced quarterly, enabling investors to take focused strategic or tactical positions within the real estate market.","The Real Estate Select Sector SPDR Fund seeks to provide investment results that, before expenses, correspond generally to the price and yield performance of the Real Estate Select Sector Index (the “Index”)The Index seeks to provide an effective representation of the real estate sector of the S&P 500 IndexSeeks to provide precise exposure to companies from real estate management and development and REITs, excluding mortgage REITsAllows investors to take strategic or tactical positions at a more targeted level than traditional style based investing","XLRE tracks a market-cap-weighted index of REITs and real estate stocks, excluding mortgage REITs, from the S&P 500.

XLRE launched in October 2015, following a decision by S&P and MSCI to split the GICS financial sector into two new sectors: financials and real estate. Due to this update, sibling fund XLF spun-off its real estate exposure to this fund. XLRE represents the new real estate sector, although mortgage REITs remain in the financial sector. Like the rest of the sector SPDR suite, it holds a concentrated portfolio of mostly large-caps. The index is rebalanced quarterly.","Under normal market conditions, the fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Real Estate companies by the Global Industry Classification Standard (GICS®). The fund is non-diversified.","The investment seeks to provide investment results that, before expenses, correspond generally to the price and yield performance of publicly traded equity securities of companies in the Real Estate Select Sector Index (the ""index""). Under normal market conditions, the fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Real Estate companies by the Global Industry Classification Standard (GICS®). The fund is non-diversified."
