etf,etf_desc,query,index
TPAY,"The Ecofin Digital Payments Infrastructure Fund focuses on companies involved in digital payments, normally investing at least 80% of its net assets in Digital Payments Companies. It tracks a proprietary, rules-based, modified market capitalization weighted, float adjusted index designed to measure the performance of equity securities of Digital Payments Companies listed on developed country exchanges.",Find large-cap digital payments stocks in developed countries,specific
TPAY,"The Ecofin Digital Payments Infrastructure Fund focuses on companies involved in digital payments, normally investing at least 80% of its net assets in Digital Payments Companies. It tracks a proprietary, rules-based, modified market capitalization weighted, float adjusted index designed to measure the performance of equity securities of Digital Payments Companies listed on developed country exchanges.",Show me developed market stocks focused on payment processing infrastructure,specific
BETZ,"The Roundhill Sports Betting & iGaming ETF (BETZ) aims to provide global passive exposure to companies primarily involved in the sports betting and iGaming industries. It seeks to track the Morningstar® Sports Betting & iGaming Select IndexSM, which was developed by Morningstar to offer pure exposure to this theme. The index includes companies engaged in activities like analyzing sports events, wagering, and online betting. Components are weighted based on their level of involvement in the theme (with a higher tilt for companies deriving over 50% of revenue from it) and free-float market capitalization. BETZ typically invests substantially all of its assets in the index's securities, though it may also use comparable investments such as depositary receipts or other ETFs. The index undergoes rebalancing and reconstitution annually in December, and the fund is classified as non-diversified.",What are the leading companies in the sports betting and online gaming industries?,general
BETZ,"The Roundhill Sports Betting & iGaming ETF (BETZ) aims to provide global passive exposure to companies primarily involved in the sports betting and iGaming industries. It seeks to track the Morningstar® Sports Betting & iGaming Select IndexSM, which was developed by Morningstar to offer pure exposure to this theme. The index includes companies engaged in activities like analyzing sports events, wagering, and online betting. Components are weighted based on their level of involvement in the theme (with a higher tilt for companies deriving over 50% of revenue from it) and free-float market capitalization. BETZ typically invests substantially all of its assets in the index's securities, though it may also use comparable investments such as depositary receipts or other ETFs. The index undergoes rebalancing and reconstitution annually in December, and the fund is classified as non-diversified.",List publicly traded stocks in the iGaming and wagering sector.,general
BETZ,"The Roundhill Sports Betting & iGaming ETF (BETZ) aims to provide global passive exposure to companies primarily involved in the sports betting and iGaming industries. It seeks to track the Morningstar® Sports Betting & iGaming Select IndexSM, which was developed by Morningstar to offer pure exposure to this theme. The index includes companies engaged in activities like analyzing sports events, wagering, and online betting. Components are weighted based on their level of involvement in the theme (with a higher tilt for companies deriving over 50% of revenue from it) and free-float market capitalization. BETZ typically invests substantially all of its assets in the index's securities, though it may also use comparable investments such as depositary receipts or other ETFs. The index undergoes rebalancing and reconstitution annually in December, and the fund is classified as non-diversified.",Find global stocks that generate over 50% of their revenue from sports betting or online gambling.,specific
BETZ,"The Roundhill Sports Betting & iGaming ETF (BETZ) aims to provide global passive exposure to companies primarily involved in the sports betting and iGaming industries. It seeks to track the Morningstar® Sports Betting & iGaming Select IndexSM, which was developed by Morningstar to offer pure exposure to this theme. The index includes companies engaged in activities like analyzing sports events, wagering, and online betting. Components are weighted based on their level of involvement in the theme (with a higher tilt for companies deriving over 50% of revenue from it) and free-float market capitalization. BETZ typically invests substantially all of its assets in the index's securities, though it may also use comparable investments such as depositary receipts or other ETFs. The index undergoes rebalancing and reconstitution annually in December, and the fund is classified as non-diversified.",Show me publicly traded companies primarily involved in online wagering or sports event analysis worldwide.,specific
RZV,"The Invesco S&P SmallCap 600 Pure Value ETF (RZV) aims to track the S&P SmallCap 600 Pure Value Index by investing at least 90% of its assets in the index's securities. This underlying index is a subset of the S&P SmallCap 600, focusing on US small-cap companies identified as having strong pure value characteristics through high scores based on metrics like book-value-to-price, earnings-to-price, and sales-to-price ratios. Constituents are weighted according to their value scores, and the index is rebalanced annually, providing concentrated exposure to robust value traits as part of S&P's pure style index series.",What are some promising US small-cap value stocks?,general
RZV,"The Invesco S&P SmallCap 600 Pure Value ETF (RZV) aims to track the S&P SmallCap 600 Pure Value Index by investing at least 90% of its assets in the index's securities. This underlying index is a subset of the S&P SmallCap 600, focusing on US small-cap companies identified as having strong pure value characteristics through high scores based on metrics like book-value-to-price, earnings-to-price, and sales-to-price ratios. Constituents are weighted according to their value scores, and the index is rebalanced annually, providing concentrated exposure to robust value traits as part of S&P's pure style index series.",Show me a list of small-cap companies in the US known for value characteristics.,general
RZV,"The Invesco S&P SmallCap 600 Pure Value ETF (RZV) aims to track the S&P SmallCap 600 Pure Value Index by investing at least 90% of its assets in the index's securities. This underlying index is a subset of the S&P SmallCap 600, focusing on US small-cap companies identified as having strong pure value characteristics through high scores based on metrics like book-value-to-price, earnings-to-price, and sales-to-price ratios. Constituents are weighted according to their value scores, and the index is rebalanced annually, providing concentrated exposure to robust value traits as part of S&P's pure style index series.","Find US small-cap stocks with the lowest price-to-book, price-to-earnings, and price-to-sales ratios.",specific
RZV,"The Invesco S&P SmallCap 600 Pure Value ETF (RZV) aims to track the S&P SmallCap 600 Pure Value Index by investing at least 90% of its assets in the index's securities. This underlying index is a subset of the S&P SmallCap 600, focusing on US small-cap companies identified as having strong pure value characteristics through high scores based on metrics like book-value-to-price, earnings-to-price, and sales-to-price ratios. Constituents are weighted according to their value scores, and the index is rebalanced annually, providing concentrated exposure to robust value traits as part of S&P's pure style index series.",Filter for US small-cap stocks that score high on pure value metrics like book-to-price and earnings-to-price.,specific
RAFE,"The PIMCO RAFI ESG U.S. ETF seeks total return corresponding to the RAFI ESG U.S. Index by investing at least 80% of its assets in index components. The index employs a rules-based approach to select and weight US large- and mid-cap equities based on a combination of fundamental and ESG criteria. It utilizes fundamental factors like sales, cash flow, dividends, and book value, and incorporates ESG signals covering environment, social, governance, financial discipline, and diversity. Companies are selected from top fundamental performers, filtered based on ESG scores, and those with significant involvement in controversial industries like tobacco, gaming, weapons, and fossil fuels are excluded. Constituents are weighted by fundamental weight adjusted by overall ESG scores, aiming to overweight companies with strong ESG profiles.",Find US large and mid-cap stocks based on fundamental factors.,general
RAFE,"The PIMCO RAFI ESG U.S. ETF seeks total return corresponding to the RAFI ESG U.S. Index by investing at least 80% of its assets in index components. The index employs a rules-based approach to select and weight US large- and mid-cap equities based on a combination of fundamental and ESG criteria. It utilizes fundamental factors like sales, cash flow, dividends, and book value, and incorporates ESG signals covering environment, social, governance, financial discipline, and diversity. Companies are selected from top fundamental performers, filtered based on ESG scores, and those with significant involvement in controversial industries like tobacco, gaming, weapons, and fossil fuels are excluded. Constituents are weighted by fundamental weight adjusted by overall ESG scores, aiming to overweight companies with strong ESG profiles.",List US companies with strong ESG performance.,general
RAFE,"The PIMCO RAFI ESG U.S. ETF seeks total return corresponding to the RAFI ESG U.S. Index by investing at least 80% of its assets in index components. The index employs a rules-based approach to select and weight US large- and mid-cap equities based on a combination of fundamental and ESG criteria. It utilizes fundamental factors like sales, cash flow, dividends, and book value, and incorporates ESG signals covering environment, social, governance, financial discipline, and diversity. Companies are selected from top fundamental performers, filtered based on ESG scores, and those with significant involvement in controversial industries like tobacco, gaming, weapons, and fossil fuels are excluded. Constituents are weighted by fundamental weight adjusted by overall ESG scores, aiming to overweight companies with strong ESG profiles.","Show me US large and mid-cap stocks with high cash flow and strong ESG ratings, excluding controversial industries.",specific
RAFE,"The PIMCO RAFI ESG U.S. ETF seeks total return corresponding to the RAFI ESG U.S. Index by investing at least 80% of its assets in index components. The index employs a rules-based approach to select and weight US large- and mid-cap equities based on a combination of fundamental and ESG criteria. It utilizes fundamental factors like sales, cash flow, dividends, and book value, and incorporates ESG signals covering environment, social, governance, financial discipline, and diversity. Companies are selected from top fundamental performers, filtered based on ESG scores, and those with significant involvement in controversial industries like tobacco, gaming, weapons, and fossil fuels are excluded. Constituents are weighted by fundamental weight adjusted by overall ESG scores, aiming to overweight companies with strong ESG profiles.","Find US stocks screened using fundamental metrics (sales, dividends, book value) and good ESG scores.",specific
DRN,"The Direxion Daily Real Estate Bull 3X Shares (DRN) is an ETF designed to seek daily investment results that are 300% (3X) of the daily performance of the Real Estate Select Sector Index. This index, provided by S&P Dow Jones Indices, captures large-cap US equities within the real estate sector, including companies involved in real estate management, development, and REITs, while excluding mortgage REITs. The fund invests at least 80% of its net assets in financial instruments like swap agreements, securities of the index, and index-tracking ETFs to achieve this 3X daily leveraged exposure. As a non-diversified fund that rebalances daily, DRN is intended as a trading vehicle rather than a long-term investment, given that compounding and path dependency can significantly impact its long-term performance relative to the underlying index.",List of US real estate stocks,general
DRN,"The Direxion Daily Real Estate Bull 3X Shares (DRN) is an ETF designed to seek daily investment results that are 300% (3X) of the daily performance of the Real Estate Select Sector Index. This index, provided by S&P Dow Jones Indices, captures large-cap US equities within the real estate sector, including companies involved in real estate management, development, and REITs, while excluding mortgage REITs. The fund invests at least 80% of its net assets in financial instruments like swap agreements, securities of the index, and index-tracking ETFs to achieve this 3X daily leveraged exposure. As a non-diversified fund that rebalances daily, DRN is intended as a trading vehicle rather than a long-term investment, given that compounding and path dependency can significantly impact its long-term performance relative to the underlying index.",Top real estate companies in the US,general
DRN,"The Direxion Daily Real Estate Bull 3X Shares (DRN) is an ETF designed to seek daily investment results that are 300% (3X) of the daily performance of the Real Estate Select Sector Index. This index, provided by S&P Dow Jones Indices, captures large-cap US equities within the real estate sector, including companies involved in real estate management, development, and REITs, while excluding mortgage REITs. The fund invests at least 80% of its net assets in financial instruments like swap agreements, securities of the index, and index-tracking ETFs to achieve this 3X daily leveraged exposure. As a non-diversified fund that rebalances daily, DRN is intended as a trading vehicle rather than a long-term investment, given that compounding and path dependency can significantly impact its long-term performance relative to the underlying index.",Find US large cap real estate stocks excluding mortgage REITs,specific
DRN,"The Direxion Daily Real Estate Bull 3X Shares (DRN) is an ETF designed to seek daily investment results that are 300% (3X) of the daily performance of the Real Estate Select Sector Index. This index, provided by S&P Dow Jones Indices, captures large-cap US equities within the real estate sector, including companies involved in real estate management, development, and REITs, while excluding mortgage REITs. The fund invests at least 80% of its net assets in financial instruments like swap agreements, securities of the index, and index-tracking ETFs to achieve this 3X daily leveraged exposure. As a non-diversified fund that rebalances daily, DRN is intended as a trading vehicle rather than a long-term investment, given that compounding and path dependency can significantly impact its long-term performance relative to the underlying index.","Show me US stocks in equity REITs, real estate management, or real estate development",specific
PPA,"The Invesco Aerospace & Defense ETF (PPA) aims to track the investment results of the SPADE® Defense Index by investing at least 90% of its total assets in the securities that comprise the underlying index. The index consists primarily of common stocks of NYSE- or NASDAQ-listed companies systematically important to U.S. defense, military, national/homeland security, and government space operations, offering exposure to the broader aerospace & defense industry. Constituents are typically market-cap weighted and the index is rebalanced quarterly, often incorporating constraints like a 10% cap on individual holdings to limit single-stock concentration within the sector, although the fund itself is considered non-diversified due to its industry focus.",List major US aerospace and defense stocks.,general
PPA,"The Invesco Aerospace & Defense ETF (PPA) aims to track the investment results of the SPADE® Defense Index by investing at least 90% of its total assets in the securities that comprise the underlying index. The index consists primarily of common stocks of NYSE- or NASDAQ-listed companies systematically important to U.S. defense, military, national/homeland security, and government space operations, offering exposure to the broader aerospace & defense industry. Constituents are typically market-cap weighted and the index is rebalanced quarterly, often incorporating constraints like a 10% cap on individual holdings to limit single-stock concentration within the sector, although the fund itself is considered non-diversified due to its industry focus.",Find publicly traded companies focused on US national security and defense.,general
PPA,"The Invesco Aerospace & Defense ETF (PPA) aims to track the investment results of the SPADE® Defense Index by investing at least 90% of its total assets in the securities that comprise the underlying index. The index consists primarily of common stocks of NYSE- or NASDAQ-listed companies systematically important to U.S. defense, military, national/homeland security, and government space operations, offering exposure to the broader aerospace & defense industry. Constituents are typically market-cap weighted and the index is rebalanced quarterly, often incorporating constraints like a 10% cap on individual holdings to limit single-stock concentration within the sector, although the fund itself is considered non-diversified due to its industry focus.",Show me US defense and aerospace stocks listed on NYSE or NASDAQ.,specific
PPA,"The Invesco Aerospace & Defense ETF (PPA) aims to track the investment results of the SPADE® Defense Index by investing at least 90% of its total assets in the securities that comprise the underlying index. The index consists primarily of common stocks of NYSE- or NASDAQ-listed companies systematically important to U.S. defense, military, national/homeland security, and government space operations, offering exposure to the broader aerospace & defense industry. Constituents are typically market-cap weighted and the index is rebalanced quarterly, often incorporating constraints like a 10% cap on individual holdings to limit single-stock concentration within the sector, although the fund itself is considered non-diversified due to its industry focus.",Find large-cap US companies important to national security or government space programs.,specific
FDHT,"The Fidelity Digital Health ETF (FDHT) is a passively managed fund designed to track the Fidelity Digital Health Index℠, seeking investment returns corresponding to its performance. The index captures a global universe of companies across the market capitalization spectrum driving the digital transformation of healthcare, including firms involved in areas such as healthcare records management, connected healthcare devices, surgical robotics, and telemedicine. The index focuses specifically on companies that derive at least 50% of their revenue from digital healthcare products and services or connected medical devices, selecting the highest-scoring securities based on thematic exposure determined by natural language processing. The fund normally invests at least 80% of its assets in securities included in this index and related depositary receipts. The index weights its portfolio on a capped, market-capitalization basis and is rebalanced quarterly. The ETF is classified as non-diversified.",What are the leading digital healthcare stocks?,general
FDHT,"The Fidelity Digital Health ETF (FDHT) is a passively managed fund designed to track the Fidelity Digital Health Index℠, seeking investment returns corresponding to its performance. The index captures a global universe of companies across the market capitalization spectrum driving the digital transformation of healthcare, including firms involved in areas such as healthcare records management, connected healthcare devices, surgical robotics, and telemedicine. The index focuses specifically on companies that derive at least 50% of their revenue from digital healthcare products and services or connected medical devices, selecting the highest-scoring securities based on thematic exposure determined by natural language processing. The fund normally invests at least 80% of its assets in securities included in this index and related depositary receipts. The index weights its portfolio on a capped, market-capitalization basis and is rebalanced quarterly. The ETF is classified as non-diversified.",Show me publicly traded companies in the health tech industry.,general
FDHT,"The Fidelity Digital Health ETF (FDHT) is a passively managed fund designed to track the Fidelity Digital Health Index℠, seeking investment returns corresponding to its performance. The index captures a global universe of companies across the market capitalization spectrum driving the digital transformation of healthcare, including firms involved in areas such as healthcare records management, connected healthcare devices, surgical robotics, and telemedicine. The index focuses specifically on companies that derive at least 50% of their revenue from digital healthcare products and services or connected medical devices, selecting the highest-scoring securities based on thematic exposure determined by natural language processing. The fund normally invests at least 80% of its assets in securities included in this index and related depositary receipts. The index weights its portfolio on a capped, market-capitalization basis and is rebalanced quarterly. The ETF is classified as non-diversified.",Find global stocks focused on digital healthcare with over 50% revenue from these areas.,specific
FDHT,"The Fidelity Digital Health ETF (FDHT) is a passively managed fund designed to track the Fidelity Digital Health Index℠, seeking investment returns corresponding to its performance. The index captures a global universe of companies across the market capitalization spectrum driving the digital transformation of healthcare, including firms involved in areas such as healthcare records management, connected healthcare devices, surgical robotics, and telemedicine. The index focuses specifically on companies that derive at least 50% of their revenue from digital healthcare products and services or connected medical devices, selecting the highest-scoring securities based on thematic exposure determined by natural language processing. The fund normally invests at least 80% of its assets in securities included in this index and related depositary receipts. The index weights its portfolio on a capped, market-capitalization basis and is rebalanced quarterly. The ETF is classified as non-diversified.","List companies specializing in telemedicine, surgical robotics, or connected medical devices.",specific
JXI,"The iShares Global Utilities ETF (JXI) offers a concentrated investment in global utilities by seeking to track the S&P Global 1200 Utilities (Sector) Capped Index. This market-cap-weighted index is composed of global companies classified as utilities, featuring a 10% cap per issuer and quarterly rebalancing. The fund aims to track the index using a sampling method and generally invests at least 80% of its assets in index components or substantially identical investments, while allowing up to 20% for derivatives and cash. JXI provides broad exposure to utilities worldwide without geographic limitations.",List of global utilities stocks,general
JXI,"The iShares Global Utilities ETF (JXI) offers a concentrated investment in global utilities by seeking to track the S&P Global 1200 Utilities (Sector) Capped Index. This market-cap-weighted index is composed of global companies classified as utilities, featuring a 10% cap per issuer and quarterly rebalancing. The fund aims to track the index using a sampling method and generally invests at least 80% of its assets in index components or substantially identical investments, while allowing up to 20% for derivatives and cash. JXI provides broad exposure to utilities worldwide without geographic limitations.",What are the leading utilities companies worldwide?,general
JXI,"The iShares Global Utilities ETF (JXI) offers a concentrated investment in global utilities by seeking to track the S&P Global 1200 Utilities (Sector) Capped Index. This market-cap-weighted index is composed of global companies classified as utilities, featuring a 10% cap per issuer and quarterly rebalancing. The fund aims to track the index using a sampling method and generally invests at least 80% of its assets in index components or substantially identical investments, while allowing up to 20% for derivatives and cash. JXI provides broad exposure to utilities worldwide without geographic limitations.",Show me global utility stocks with over $5 billion market cap,specific
JXI,"The iShares Global Utilities ETF (JXI) offers a concentrated investment in global utilities by seeking to track the S&P Global 1200 Utilities (Sector) Capped Index. This market-cap-weighted index is composed of global companies classified as utilities, featuring a 10% cap per issuer and quarterly rebalancing. The fund aims to track the index using a sampling method and generally invests at least 80% of its assets in index components or substantially identical investments, while allowing up to 20% for derivatives and cash. JXI provides broad exposure to utilities worldwide without geographic limitations.",Find publicly traded utilities companies outside the US,specific
IQSU,"The IQ Candriam ESG US Equity ETF (IQSU) is a passively managed fund designed to track a proprietary index of large-cap U.S. equities. Developed by Candriam using its proprietary ESG criteria, the index selects companies based on a detailed process including sector-specific analysis, issuer factors like governance and labor practices, and exposure to sustainability trends, while excluding those not meeting UN Global Compact principles or involved in specific businesses. The index aims to select companies representing approximately the top 70% within each sector to maintain broad sector exposure and is weighted by market capitalization, undergoing quarterly reconstitution and rebalancing.",Best US large-cap stocks with strong ESG performance,general
IQSU,"The IQ Candriam ESG US Equity ETF (IQSU) is a passively managed fund designed to track a proprietary index of large-cap U.S. equities. Developed by Candriam using its proprietary ESG criteria, the index selects companies based on a detailed process including sector-specific analysis, issuer factors like governance and labor practices, and exposure to sustainability trends, while excluding those not meeting UN Global Compact principles or involved in specific businesses. The index aims to select companies representing approximately the top 70% within each sector to maintain broad sector exposure and is weighted by market capitalization, undergoing quarterly reconstitution and rebalancing.",Leading sustainable US companies for investment,general
IQSU,"The IQ Candriam ESG US Equity ETF (IQSU) is a passively managed fund designed to track a proprietary index of large-cap U.S. equities. Developed by Candriam using its proprietary ESG criteria, the index selects companies based on a detailed process including sector-specific analysis, issuer factors like governance and labor practices, and exposure to sustainability trends, while excluding those not meeting UN Global Compact principles or involved in specific businesses. The index aims to select companies representing approximately the top 70% within each sector to maintain broad sector exposure and is weighted by market capitalization, undergoing quarterly reconstitution and rebalancing.","Find US large-cap stocks that meet detailed environmental, social, and governance criteria.",specific
